Short Title,Title,Sample,Species,Protein Family,Investigator,Date,psId,cbpId
MpL-1 (87ug/ml),MpL-1 (87ug/ml) Slide#: 13515 Cfg#: 2231 03/03/2011 V5.0 Alexa488 CMZ,MpL-1 (Macrolepiota procera lectin \x96 isolectin 1):MpL-1-87ug/ml,Other,Plant/Fungal Lectin,Janko Kos,05-Jul-11,primscreen_3770,cbp_1606
MpL-2 (145ug/ml),MpL-2 (145ug/ml) Slide#: 13516 Cfg#: 2231 03/03/2011 V5.0 Alexa488 CMZ,MpL-2 (Macrolepiota procera lectin \x96 isolectin 2):MpL-2-145ug/ml,Other,Plant/Fungal Lectin,Janko Kos,05-Jul-11,primscreen_3771,cbp_1607
MpL-2 (10ug/ml),MpL-2 (10ug/ml) Slide#: 13556 Cfg#:2231 03/11/2011 V5.0 Alexa488 CMZ,MpL-2 (Macrolepiota procera lectin \x96 isolectin 2):MpL-2-10ug/ml,Other,Plant/Fungal Lectin,Janko Kos,05-Jul-11,primscreen_3775,cbp_1607
MpL-1 (10ug/ml),MpL-1 (10ug/ml) Slide#: 13555 Cfg#:2231 03/11/2011 V5.0 Alexa488 CMZ,MpL-1 (Macrolepiota procera lectin \x96 isolectin 1):MpL-1-10ug/ml,Other,Plant/Fungal Lectin,Janko Kos,05-Jul-11,primscreen_3777,cbp_1606
MJW lectin 200ug/ml,MJW lectin 200ug/ml Slide#13581 rRequest#2208 Alexa488 3/17/11 HJ,Burkholderia oklahomensis agglutinin(BOA):BOA lectin (MJW),Bacteria,Viral/Bacterial Lectin,Angela Gronenborn ,28-May-11,primscreen_3779,cbp_1659
Threefoil 200ug/ml,Threefoil 200ug/ml Slide#13557 CFG#2222 Alexa543 3/10/11 HJ,ThreeFoil:Threefoil,Bacteria,Viral/Bacterial Lectin,Elizabeth M. Meiering,18-Apr-11,primscreen_3787,cbp_1608
Blon 2468 Mut (100ug/ml),Blon 2468 Mut (100ug/ml) Slide#: 13580 Cfg#:2262 03/17/2011 V5.0 Alexa488 CMZ,Blon0732mut; Blon2355mut; Blon2468mut:Blon2468mut,Bacteria,Viral/Bacterial Lectin,Carlito B. Lebrilla,07-Jul-11,primscreen_3798,cbp_1638
NV VLP-3step (200ug/ml),NV VLP-3step (200ug/ml) Slide#:13524 Cfg#:1559 03/07/2011 V5.0 Alexa488 CMZ,Norwalk_VLP:Norwalk VLP (WT)- 3 step assay,Virus,Viral/Bacterial Lectin,Robert L. Atmar,05-Jul-11,primscreen_3804,cbp_1615
rNV VLP-4step (200ug/ml),rNV VLP-4step (200ug/ml) Slide#:13527 Cfg#:1559 03/04/2011 V5.0 Alexa488 CMZ,Norwalk_VLP:Norwalk VLP (WT)- 4 step assay,Virus,Viral/Bacterial Lectin,Robert L. Atmar,05-Jul-11,primscreen_3805,cbp_1615
CBM13 2b+BME (200ug/ml),CBM13 2b+BME (200ug/ml) Slide#: 13585 Cfg#:2238 03/18/2011 V5.0 Cy5 CMZ,cfg_rRequest_2238- CBM13:CBM13 2b+BME,Bacteria,Viral/Bacterial Lectin,Mamannamana Vijayan,05-Jul-11,primscreen_3806,cbp_1618
CBM13 2b (200ug/ml),CBM13 2b (200ug/ml) Slide#: 13584 Cfg#:2238 03/18/2011 V5.0 Cy5 CMZ,cfg_rRequest_2238- CBM13:CBM13 2b,Bacteria,Viral/Bacterial Lectin,Mamannamana Vijayan,05-Jul-11,primscreen_3809,cbp_1618
CBM13 2a (200ug/ml),CBM13 2a (200ug/ml) Slide#: 13582 Cfg#:2238 03/18/2011 V5.0 Cy5 CMZ,cfg_rRequest_2238- CBM13:CBM13 2a,Bacteria,Viral/Bacterial Lectin,Mamannamana Vijayan,05-Jul-11,primscreen_3821,cbp_1618
PSL 200ug/ml,PSL 200ug/ml Slide#13712 CFG# 2292 v5.0 Alexa488 4/25/11 HJ,PSL:PSL,Fungus,Plant/Fungal Lectin,Robert J. Woods,05-Jul-11,primscreen_3897,cbp_1549
Galectin-7 (20ug/ml),Galectin-7 (20ug/ml) Slide#: 13608 Cfg#2283 03/31/2011 V5.0 Alexa488 CMZ,Human Galectin-7-human Fc1 chimeric protein:Galectin-7,Human,Fusion,James Paulson,05-Jul-11,primscreen_3904,cbp_hum_Stlect_00143
