IUPAC,AAL (0.01 ug/ml),AAL (0.1ug/ml),AAL (1ug/ml),AAL (10ug/ml),AAL (100 ug/ml)
Gal(a1-Sp8,32.14354999999999,12.400250000000005,15.102775,12.556749999999996,72.36732500000002
Glc(a1-Sp8,11.702475,11.707924999999996,26.4062,13.13925,55.572325000000006
Man(a1-Sp8,13.544074999999998,26.35055,45.14219999999999,17.456525,18.856099999999994
GalNAc(a1-Sp8,-2.4079999999999977,13.690100000000005,23.9211,-0.4513249999999971,9.264475000000004
GalNAc(a1-Sp15,12.806600000000005,30.71627500000001,30.881225000000004,24.567824999999992,40.372825
Fuc(a1-Sp8,794.74585,7252.564800000003,33896.72940000001,42160.755025,36437.64317500001
Fuc(a1-Sp9,411.373425,5168.231099999999,24960.579650000003,40822.40447499999,35450.275825000004
Rha(a1-Sp8,-3.0725750000000005,14.915775,6.624374999999987,9.933025000000004,3.164475000000003
Neu5Ac(a1-Sp8,-0.6815750000000023,7.681950000000002,1.7929000000000013,28.80572500000001,8.449200000000005
Neu5Ac(a1-Sp11,9.048875000000002,-2.2078250000000046,-2.694449999999998,3.3498750000000013,-19.9445
Neu5Ac(b1-Sp8,3.695149999999998,14.147749999999995,1.789875000000002,13.712225000000005,-8.571524999999994
Gal(b1-Sp8,9.779674999999996,39.0626,73.46837500000002,97.606675,77.71635
Glc(b1-Sp8,-3.7225,20.751199999999994,20.072775,9.054724999999994,46.37430000000001
Man(b1-Sp8,0.465799999999998,5.012100000000002,-5.522299999999998,4.3917,24.20747500000001
GalNAc(b1-Sp8,4.085374999999999,13.13195,2.957899999999998,1.672975000000001,13.055450000000004
GlcNAc(b1-Sp0,-1.6413249999999984,20.955225,11.298250000000005,-0.7192249999999979,15.476400000000005
GlcNAc(b1-Sp8,11.836050000000007,30.307399999999994,6.161350000000002,2.2620749999999994,59.06202499999999
GlcN[Gc](b1-Sp8,-3.788099999999994,14.948549999999996,9.881825000000003,-2.1468000000000025,-14.041075000000005
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,-1.2190249999999985,-3.351275000000001,11.323225000000004,22.288549999999994,10.838775000000002
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,-5.342874999999992,16.642249999999983,-6.575274999999998,8.319175000000001,-16.631449999999994
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,0.3409499999999994,-1.315324999999998,17.783375,10.033425000000003,-1.5704000000000031
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,-1.0147499999999958,-18.745549999999994,-19.217825,28.65195,-61.63589999999998
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,-14.236449999999998,15.447325,-9.574750000000003,10.071324999999998,-11.362000000000002
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,60.95475,2353.24355,10496.513825,26339.8427,39517.38245000001
(3S)Gal(b1-4)Glc(b1-Sp8,3.74555,-1.4851750000000008,19.896025,3.832225000000003,16.009750000000004
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,2.3077749999999995,5.8486249999999975,12.4208,51.04075,18.3729
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,2.078574999999999,28.053574999999995,16.405499999999996,3.288400000000003,23.238549999999986
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,329.7933,6667.409324999999,27446.446150000003,35462.266075,34343.09655
(3S)Gal(b1-3)GalNAc(a1-Sp8,-0.3701749999999997,0.4027249999999985,-0.6821250000000028,-12.431774999999998,0.861975000000001
(3S)Gal(b1-3)GlcNAc(b1-Sp0,0.7666000000000004,-9.3364,-0.6715,-12.580775,-12.968549999999995
(3S)Gal(b1-3)GlcNAc(b1-Sp8,-6.5063999999999975,-7.2026,-0.07602500000000313,-0.29572499999999025,-17.836025000000006
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,331.84777500000007,4469.08055,29811.06235,32708.621100000004,32845.0039
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,142.73017499999997,3531.9610500000013,21664.715475000005,38789.688999999984,33711.376775
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,7.6309749999999985,-3.8416749999999986,-0.12737499999999358,-12.914825,-16.62945
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,7.360949999999999,8.883074999999998,22.158500000000004,-5.460825,39.18917499999999
(3S)Gal(b1-4)GlcNAc(b1-Sp0,-2.3373250000000025,9.481575,-15.324325000000002,-8.965924999999997,-29.68815
(3S)Gal(b1-4)GlcNAc(b1-Sp8,-11.29245,15.456875,4.65535,19.495125,34.11777500000001
(3S)Gal(b1-Sp8,-3.021474999999999,2.1020749999999992,2.684099999999999,13.399975,21.91415
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,-6.291875,35.128975,-4.933200000000005,-6.942724999999999,8.117349999999998
(4S)Gal(b1-4)GlcNAc(b1-Sp8,-9.026450000000004,-4.521275000000001,1.2905750000000005,-1.720750000000001,-0.4471249999999962
(6P)Man(a1-Sp8,0.7523999999999944,44.76944999999999,27.54969999999999,36.609075,41.97740000000001
(6S)Gal(b1-4)Glc(b1-Sp0,3.8524749999999983,-0.016875000000002416,-0.051350000000002886,-2.3163500000000035,-19.02220000000001
(6S)Gal(b1-4)Glc(b1-Sp8,-8.298825000000003,16.781400000000005,12.650699999999993,22.555175,0.16632499999999695
(6S)Gal(b1-4)GlcNAc(b1-Sp8,-17.274925,-8.919225,-4.305524999999999,-20.3308,-38.51712499999999
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,3.5734499999999976,12.906599999999996,0.9332749999999947,20.4748,4.973374999999997
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,16.53902500000001,4032.221750000001,29730.975125,35557.0099,33184.4969
(6S)GlcNAc(b1-Sp8,-9.488150000000003,-1.4582499999999996,14.06295,-3.050924999999996,-27.428175000000003
"Neu5,9Ac2(a1-Sp8",-26.898325,-19.486950000000004,0.33049999999999713,7.327525000000005,-64.84215
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",-4.398125,-6.156425000000002,-2.327250000000003,-8.8102,5.240099999999998
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,3.019425,14.86705,18.53705,16.3926,19.38375
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,1.0629500000000007,14.748125,43.92914999999999,71.90132500000001,89.19810000000004
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,-5.634175000000001,13.245500000000005,17.176224999999995,8.85125,9.425175
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,-0.8123499999999986,1.4973499999999973,1.4598000000000009,-10.179349999999996,1.5297999999999978
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,11.564625,-0.6873749999999994,11.582425,-6.099225000000002,-4.2398500000000015
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,0.5371250000000014,0.10547500000000554,0.8407250000000026,2.2316499999999984,26.96270000000002
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,-7.640849999999999,-8.867024999999998,-1.3847499999999986,-7.438525000000002,1.3952749999999978
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,1.2164499999999985,15.857425000000005,12.247925000000002,12.18945,0.03509999999999991
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,1.2530500000000018,19.762475,46.83172499999999,50.64190000000002,20.9827
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,2.9516749999999945,459.0169,929.73735,4623.31335,3814.471725
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,19.874325,299.088425,1705.2545750000006,16335.047449999998,10994.486775
