IUPAC,AIA (0.01ug/ml),AIA (0.1 ug/ml),AIA (1 ug/ml),AIA (10 ug/ml)
Gal(a1-Sp8,5.396775,-13.920875000000002,2.1605250000000042,10635.253949999998
Glc(a1-Sp8,24.24377500000001,-1.579900000000002,6.642325000000002,-3.041400000000003
Man(a1-Sp8,12.662024999999995,19.075425000000006,27.238099999999992,-12.308924999999995
GalNAc(a1-Sp8,-2.402099999999999,-13.569749999999996,-2.3376,31215.996650000005
GalNAc(a1-Sp15,24.9054,-10.160475000000002,6.8505249999999975,7232.333225
Fuc(a1-Sp8,7.689100000000002,-12.369375,-5.4938499999999975,-16.980625
Fuc(a1-Sp9,-4.3065750000000005,-21.428175000000003,-8.106449999999999,-18.177724999999995
Rha(a1-Sp8,-1.3140500000000015,-4.812175000000002,-14.339975000000004,-14.985650000000007
Neu5Ac(a1-Sp8,-9.894649999999997,9.247075,-9.3476,-15.363300000000002
Neu5Ac(a1-Sp11,-9.6251,-17.061749999999996,7.009874999999997,-14.885825
Neu5Ac(b1-Sp8,-0.9712500000000012,-10.485400000000006,-1.97965,-29.582325
Gal(b1-Sp8,-4.965,-10.730924999999996,-11.661549999999995,2.3619999999999908
Glc(b1-Sp8,3.7931500000000007,-13.529700000000002,-2.225125000000002,-17.36895
Man(b1-Sp8,6.809075,0.6854250000000022,0.5898750000000009,-28.333224999999995
GalNAc(b1-Sp8,13.941300000000002,-13.153574999999995,-2.4517750000000014,-26.78635
GlcNAc(b1-Sp0,-5.3680999999999965,-13.31455,-3.3313749999999995,-19.954075
GlcNAc(b1-Sp8,-10.161275,-15.805,-12.324175,-0.8022999999999954
GlcN[Gc](b1-Sp8,-8.698174999999999,-8.0034,-14.195399999999998,-11.598699999999996
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,-7.735650000000002,-8.713925000000003,-4.822975,-17.9613
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,-5.480324999999995,-17.052125,-7.827125,-9.1138
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,-7.180925,-30.751875,0.670849999999998,-19.144275
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,-8.940800000000003,-22.29160000000001,-3.7870500000000007,-37.13
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,-6.654125,-18.121825,-14.471925000000002,-29.695674999999994
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,-12.99755,-4.921250000000008,7.5779999999999985,-14.1081
(3S)Gal(b1-4)Glc(b1-Sp8,4.459500000000002,-16.453225,-1.1439000000000004,-16.7048
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,-2.7766,-11.909325,-3.6388000000000016,-16.1348
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,5.617925,-8.114574999999999,-8.982074999999998,-20.909925
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,7.5090499999999984,-12.10415,10.038050000000002,-22.64507500000001
(3S)Gal(b1-3)GalNAc(a1-Sp8,0.3748499999999986,-35.47592500000001,73.19072499999999,38419.05095
(3S)Gal(b1-3)GlcNAc(b1-Sp0,-3.098275000000001,-12.848825,-10.551149999999998,-17.239275
(3S)Gal(b1-3)GlcNAc(b1-Sp8,0.8273999999999989,-21.708275,-5.124300000000003,-26.337850000000003
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,-2.9371749999999963,-8.269300000000001,-12.48905,-9.06505
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,-6.6022250000000025,11.399625,-7.691825,13.378724999999996
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,0.8332000000000024,-16.115525,15.005975000000005,-20.379975
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,-0.8824499999999986,-20.83845,-14.000725000000005,-26.062875000000005
(3S)Gal(b1-4)GlcNAc(b1-Sp0,-0.3442250000000016,-17.059650000000005,-12.320850000000002,-24.263125
(3S)Gal(b1-4)GlcNAc(b1-Sp8,-2.7288250000000005,-11.236675000000005,-7.075700000000001,-17.535425
(3S)Gal(b1-Sp8,0.3687000000000005,-11.113775,-1.6435000000000013,-23.46135000000001
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,-3.0330250000000003,-15.0421,4.111924999999999,-17.941725
(4S)Gal(b1-4)GlcNAc(b1-Sp8,-3.0902249999999984,-12.25855,-10.0235,-32.006925
(6P)Man(a1-Sp8,-2.780625,-4.705500000000002,5.866125,-11.1045
(6S)Gal(b1-4)Glc(b1-Sp0,3.931775,-4.397775000000003,-6.377225000000003,-23.67712500000001
(6S)Gal(b1-4)Glc(b1-Sp8,-2.864725,-16.333875000000006,-8.233599999999997,-25.923600000000004
(6S)Gal(b1-4)GlcNAc(b1-Sp8,-3.0012999999999983,-20.043899999999994,-1.3266000000000044,-31.57765000000001
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,-7.451474999999998,-27.81865,-1.6213500000000014,-21.020775
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,-12.228949999999998,-12.363024999999995,-3.1675,-30.7426
(6S)GlcNAc(b1-Sp8,-4.5912250000000006,-19.017125,-7.724900000000002,-30.24897499999999
"Neu5,9Ac2(a1-Sp8",-19.966375,-25.5025,-10.303225,-29.15232500000001
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",-1.405149999999999,-9.806025000000004,6.0405,-22.758125
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,5.937374999999998,4.109425,-3.2119750000000007,43.7843
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,1.934925,-6.876124999999997,-6.878625000000002,58.55690000000001
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,0.8194999999999961,-4.079475000000007,-2.083249999999998,-18.740849999999995
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,-9.66025,0.3156749999999988,-1.3653999999999993,-1.4569749999999928
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,2.644124999999999,-13.854775,-2.743824999999997,-17.9903
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,-4.205100000000002,-1.4760000000000009,-2.5096000000000025,-17.625475000000005
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,-3.1402500000000018,3.5961000000000034,-0.017799999999997596,-12.48235
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,-1.985975,-9.213025,-5.667324999999996,1.7817500000000006
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,2.1698500000000003,-4.891399999999997,17.409025000000003,-4.9955
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,19.9467,-19.4215,45.84275,13904.223675
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,4.1228250000000015,-20.406825,3.516574999999996,155.47345
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,3.1014750000000006,-5.353700000000002,16.623224999999998,-14.201025
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,-4.462700000000001,-29.02780000000001,-7.541700000000002,7893.8075750000025
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,0.4993000000000052,-13.530524999999983,-7.028299999999998,1244.037025
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,-6.72695,-3.919799999999995,2.5165500000000094,-13.699324999999995
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,0.4866750000000018,-9.1398,1.3539749999999984,-24.09010000000001
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,3.9223750000000006,-13.655350000000006,-1.1555250000000044,-26.386150000000004
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,-12.286625,0.2266500000000012,1.6563000000000017,-15.588700000000005
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,-3.749324999999999,-15.826425,-12.330400000000004,-30.73075
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,-2.989200000000001,-9.478949999999998,-3.96435,-20.969925
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,17.811850000000003,-20.865574999999982,-7.201575000000004,-20.064124999999994
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-2.661925,-5.7037,-11.074549999999995,-4.027475000000003
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-4.1074000000000055,-11.022225000000002,-14.697725,-11.302075000000002
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,-3.5924749999999985,-10.176275000000002,14.718200000000005,-14.2009
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-6.879875000000002,-9.754550000000004,-2.378725,-1.642975
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-0.386075,-6.718475,-7.85055,-11.2056
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,3.6817749999999982,-9.535700000000004,-10.326774999999998,-12.312899999999996
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,12.77365,-3.34685,0.7367250000000016,-10.108625000000004
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,7.527175,14.87602500000001,-4.589724999999998,1.6717500000000032
Fuc(a1-2)Gal(b1-Sp8,-2.7747499999999974,5.226150000000004,-2.084800000000003,13.123525000000004
Fuc(a1-3)GlcNAc(b1-Sp8,-7.330399999999999,-19.01425,-18.65195,-6.852724999999998
Fuc(a1-4)GlcNAc(b1-Sp8,-6.9646500000000024,-18.6598,1.7708500000000065,-14.1542
Fuc(b1-3)GlcNAc(b1-Sp8,2.829699999999997,2.957099999999997,1.6141499999999986,-8.785824999999999
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,-1.4545749999999966,-17.931624999999993,-0.16327500000000586,-26.171875
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.003350000000001,10.306525,21.546800000000005,25.18655000000001
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,8.762674999999998,-2.701000000000003,-1.95825,-0.7402249999999952
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,-7.383975000000001,-17.884625,-6.615449999999997,-30.82325000000001
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,-5.5391749999999975,-16.491099999999996,-6.591475000000003,-25.11585000000001
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,9.698999999999996,-10.254925,-4.956775000000004,-3.7434999999999934
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,13.524550000000005,-22.748875,80.80015000000002,43048.35419999999
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,-19.028625,-23.014825,-14.6147,-35.321825
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,-13.447050000000004,-28.174375,-9.979024999999991,-29.448349999999994
GalNAc(a1-3)GalNAc(b1-Sp8,-10.247625000000003,-31.247250000000008,-14.707275,-37.16535
GalNAc(a1-3)Gal(b1-Sp8,2.519475,-14.154075,-4.980924999999999,-25.200574999999994
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,-3.1771499999999957,-15.429950000000002,-3.0401999999999987,-20.423075000000004
GalNAc(b1-3)GalNAc(a1-Sp8,-2.946,-11.643875000000005,1322.744225,38198.3866
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,-8.69805,-25.407675000000005,-12.3979,1564.231675
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,-3.923475,-18.92185,1.10285,693.1382749999997
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,13.449024999999995,1.9944250000000008,3.688050000000004,-10.704249999999996
GalNAc(b1-4)GlcNAc(b1-Sp0,-13.222975,-23.884825,0.4317999999999955,-40.13397500000001
GalNAc(b1-4)GlcNAc(b1-Sp8,-7.812824999999997,-7.3650249999999975,0.034224999999999284,-20.702075
Gal(a1-2)Gal(b1-Sp8,-2.5933,-4.001925000000004,-2.237700000000002,-13.581775
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,5.091800000000001,-7.739124999999998,6.9991749999999975,-2.737575000000003
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,1.42375,4.87725,2.0983000000000067,0.6330500000000008
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,11.689800000000005,0.2417249999999989,13.630625,12.764450000000005
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,0.7206749999999982,8.009625000000002,3.605225000000001,12.722025
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,-5.535250000000001,-18.799225000000003,0.6925499999999989,-22.046375
