IUPAC,AOL (Mahal Lab) (0.1ug/ml),AOL (Mahal Lab) (1ug/ml),AOL (Mahal Lab) (10ug/ml),AOL (100ug/ml)
Gal(a1-Sp8,25.598825,12.842949999999998,37.6926,78.62182499999999
Glc(a1-Sp8,41.0506,19.682225,16.428275000000006,66.44004999999999
Man(a1-Sp8,48.26955,26.872950000000003,65.38572500000001,69.96575000000001
GalNAc(a1-Sp8,29.839375,32.798849999999995,48.5814,23.54525
GalNAc(a1-Sp15,13.880575000000007,20.154925,39.56665,47.8389
Fuc(a1-Sp8,1637.30825,9160.231550000002,18485.704100000006,15143.032299999995
Fuc(a1-Sp9,974.372925,6052.972825,13909.479225,16555.390375
Rha(a1-Sp8,28.122975,22.65795,19.02025,25.0574
Neu5Ac(a1-Sp8,34.169175,28.1549,52.7935,68.45545
Neu5Ac(a1-Sp11,45.59862500000001,19.91725,16.101124999999996,16.960425
Neu5Ac(b1-Sp8,19.6752,24.78677499999999,14.91985,33.436575
Gal(b1-Sp8,16.670275,24.39807500000001,31.499,25.10665
Glc(b1-Sp8,14.878799999999998,36.33912500000002,23.78047500000001,37.53317499999999
Man(b1-Sp8,36.9797,34.53215,24.491275,32.2084
GalNAc(b1-Sp8,24.440425,38.09707500000001,43.0502,58.93402499999999
GlcNAc(b1-Sp0,21.95745,38.9329,45.32972500000001,29.450550000000003
GlcNAc(b1-Sp8,22.014075,27.169875,15.607574999999995,42.99212499999999
GlcN[Gc](b1-Sp8,22.7679,15.341550000000002,8.994174999999998,24.34940000000001
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,26.138475,4.736549999999999,17.893225000000008,20.190199999999987
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,27.251025,33.074025000000006,31.837125,25.71825
