IUPAC,CF-05/27/2011 (0.1ug/ml),CF-(05/27/2011) (1ug/ml),CF-05/27/2011 (10ug/ml),CF-(05/27/2011) (100ug/ml)
Gal(a1-Sp8,90.96807499999998,9.081474999999998,1832.28875,17169.217825
Glc(a1-Sp8,93.926075,34.133025,671.5977250000002,181.54472500000003
Man(a1-Sp8,149.07265,58.034375,629.9891499999999,87.54487500000002
GalNAc(a1-Sp8,2382.93995,14272.138725,45026.722,34864.51615
GalNAc(a1-Sp15,1959.098275,5708.8961,50626.926525,34105.04872500001
Fuc(a1-Sp8,37.16069999999999,-10.9045,103.63837499999998,41.721175
Fuc(a1-Sp9,57.78087500000001,-6.40440000000001,92.128525,-13.007199999999996
Rha(a1-Sp8,82.30940000000002,11.915025000000016,154.07907500000005,83.08965000000006
Neu5Ac(a1-Sp8,9.008874999999996,331.063725,-21.626925,-7.592499999999987
Neu5Ac(a1-Sp11,55.621,4.623099999999994,166.68402500000005,38.131775
Neu5Ac(b1-Sp8,70.81397500000003,-23.236625000000004,39.968975,26.81967499999996
Gal(b1-Sp8,136.276775,2.476700000000009,909.2275,403.234325
Glc(b1-Sp8,132.66462500000006,84.49804999999998,834.3288249999997,182.00305
Man(b1-Sp8,287.408175,118.90505,943.48785,309.619725
GalNAc(b1-Sp8,127.16010000000004,349.971225,29588.423825,44839.6969
GlcNAc(b1-Sp0,109.24,63.99860000000001,20981.694425,40375.84485
GlcNAc(b1-Sp8,58.17755,-1.3957249999999988,12934.62505,40407.134625
GlcN[Gc](b1-Sp8,182.686525,89.78879999999998,669.665725,166.52245000000005
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,57.32705000000001,16.638275,521.5429,143.81559999999996
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,209.113475,85.12017499999997,725.6044,230.78625
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,34.89415,-45.607725000000016,47.28865000000001,1056.34955
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,108.36952499999998,69.5811,54.92229999999999,69.457425
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,33.32885000000001,-18.312875,0.5884500000000017,-52.314925
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,123.94680000000002,121.53472500000004,449.792025,101.63052499999996
(3S)Gal(b1-4)Glc(b1-Sp8,100.16365,49.584950000000006,445.671875,127.833275
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,19.169450000000005,33.42802499999999,76.129925,27.31145
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,37.635475,5.208174999999991,184.2111,26.481425
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,14.725250000000004,15.547025000000005,8.119075000000002,10.701450000000015
(3S)Gal(b1-3)GalNAc(a1-Sp8,1397.55955,7309.398924999998,43647.663325,44215.99599999999
(3S)Gal(b1-3)GlcNAc(b1-Sp0,14.304325,-6.182774999999992,3337.455475,39938.515775
(3S)Gal(b1-3)GlcNAc(b1-Sp8,9.862750000000062,-6.197250000000004,5802.413199999999,43227.779975
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,611.0082749999998,409.09877499999993,834.6129500000003,670.9892249999998
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,10.203225,-4.177549999999982,-26.59469999999999,-52.83
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,33.53157500000001,18.184500000000067,62.10205000000001,29.2328
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,22.986350000000005,-26.714925,-29.518725000000003,-51.41129999999999
(3S)Gal(b1-4)GlcNAc(b1-Sp0,43.1153,-9.682649999999997,160.83679999999995,-9.644199999999998
(3S)Gal(b1-4)GlcNAc(b1-Sp8,64.46284999999999,78.66550000000002,193.461575,37.29717500000001
(3S)Gal(b1-Sp8,141.087425,101.65220000000002,272.886675,190.00975000000003
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,102.56327500000003,13.802850000000007,4.7965249999999955,9.949399999999997
(4S)Gal(b1-4)GlcNAc(b1-Sp8,90.677225,91.159725,45.88712500000001,139.86955000000003
(6P)Man(a1-Sp8,103.50547500000002,52.968125,421.3330249999999,92.84965000000004
(6S)Gal(b1-4)Glc(b1-Sp0,128.329275,100.746,177.9631,142.73
(6S)Gal(b1-4)Glc(b1-Sp8,75.232225,40.947600000000016,130.83265000000003,28.34962500000001
(6S)Gal(b1-4)GlcNAc(b1-Sp8,130.39515,82.677275,23.62165000000001,98.52799999999999
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,84.40069999999999,21.70192500000001,279.12375,-9.751525
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,109.69110000000002,103.74654999999994,91.06232500000002,30.410250000000005
(6S)GlcNAc(b1-Sp8,33.246575,-18.940825,65.069375,-33.21114999999999
"Neu5,9Ac2(a1-Sp8",100.138525,31.115075000000004,12.771924999999996,26.835825
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",20.095675000000007,-1.2161500000000058,49.096975,34.27452500000001
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,489.2295249999999,410.210125,4887.76455,1120.74235
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,483.00270000000006,394.695025,639.037975,340.658825
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,78.920625,15.977125,132.47054999999997,59.72582500000002
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,15.330850000000002,-2.124850000000009,84.121075,3.9975500000000177
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,33.247475,0.9207500000000052,155.250975,67.368125
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,25.76735,26.836350000000003,230.295575,32.42897500000001
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,46.796475,-15.292175,81.82047500000002,-16.6147
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,9.924125000000004,12.238000000000007,160.30682499999998,35.38590000000001
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,246.119625,141.525925,574.4243250000002,259.348225
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,105.86002499999996,32.2854,2251.1737000000007,10982.054325
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,76.94630000000002,64.24224999999998,10071.090475000005,22742.6076
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,100.0771,73.21785,183.78535,65.86375
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,879.5380249999997,3989.26305,43462.208025000014,37854.30837499999
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,208.378475,834.4626750000001,37527.901375,35323.587700000004
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,184.16405,137.4394,421.128275,166.98792500000005
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,53.262799999999984,41.834874999999975,19.712775000000025,-35.12145000000001
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,113.593475,191.163725,231.5041,224.55460000000016
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,71.103525,-91.511475,134.43775,-92.91900000000004
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,80.07457500000002,110.509525,60.76377499999998,-37.712750000000035
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,63.06137500000001,22.915800000000004,23.211575,39.35407500000001
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,95.9604,86.17552499999996,147.54215,109.51384999999996
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,210.757025,101.47107499999998,469.80495,122.8689
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,104.898675,159.8663500000001,78.703,87.0034
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,20.730575000000005,22.33074999999999,70.05590000000001,61.66719999999998
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,23.8772,22.19185,69.86820000000002,29.80942500000002
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,44.829525,7.112924999999998,73.3731,72.57117499999998
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,18.567,15.994025,57.68577499999999,29.698499999999953
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,16.83345,-7.843949999999991,20.090625,18.408125
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,86.94442500000002,44.95920000000001,248.975675,143.30222500000005
Fuc(a1-2)Gal(b1-Sp8,75.96047499999997,6.342599999999997,209.151925,40.94537500000001
Fuc(a1-3)GlcNAc(b1-Sp8,32.571650000000005,-7.375549999999982,82.43972499999998,-15.185700000000004
Fuc(a1-4)GlcNAc(b1-Sp8,13.2962,-31.089725,40.00342500000001,-49.71470000000001
Fuc(b1-3)GlcNAc(b1-Sp8,52.20495000000001,17.472249999999995,1357.420925,32696.260825
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,2326.602925,10442.16025,33455.310949999985,33966.28385000001
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,3387.976375,12017.675475,35408.712700000004,30047.782325000015
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,201.90695,59.80222499999999,849.41995,146.278675
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,1222.2670500000004,12690.864325,35389.316000000006,34787.895274999995
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,1730.2445750000006,11348.264,34822.77887500002,34164.94235
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,1352.344225,10723.784725,33396.20007500001,37002.224450000016
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,1267.128325,7181.725425000001,48317.82655000001,49143.88955000001
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,1243.512975,9404.328075,41360.31955,39096.0843
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,1702.1227,10996.002425,39560.96115,34721.54825
GalNAc(a1-3)GalNAc(b1-Sp8,2662.447475,12264.52075,45341.82229999999,46224.476325
GalNAc(a1-3)Gal(b1-Sp8,2151.275125,11989.797750000002,46928.430225,46745.41860000001
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,3902.94835,13414.828325000004,41949.609499999984,45986.18615
GalNAc(b1-3)GalNAc(a1-Sp8,1752.1802000000002,5796.9997,42209.0961,42332.65075
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,85.85494999999997,112.81662500000002,427.7162,4377.8235
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,71.06547499999998,285.838175,20679.73785,26408.8226
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,56.58844999999998,43.45072499999999,177.955625,43.878625
GalNAc(b1-4)GlcNAc(b1-Sp0,41.836725000000015,38.04725000000001,42.07805,32.29817500000002
GalNAc(b1-4)GlcNAc(b1-Sp8,17.233899999999995,37.019925,140.457,47.435524999999984
Gal(a1-2)Gal(b1-Sp8,72.27835,37.41645,1147.9694250000002,30927.357825
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,117.74925,74.658125,670.785775,27399.17875000001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,601.872625,646.0409000000002,1040.145275,29704.346175
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,382.104175,226.67225,1327.4136249999995,15181.3832
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,43.66799999999999,-1.4061500000000038,1594.9547750000006,44658.83370000001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,18.2405,15.561175000000004,1209.725675,56668.93867500001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,163.774925,67.4289,1378.30255,21838.4242
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,26.90925,-5.057724999999991,1819.440775,31725.248725
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,22.070699999999995,49.82365000000002,417.6921,15242.343500000004
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,221.79377500000004,50.78797499999998,21109.707425,36400.1684
Gal(a1-3)GalNAc(a1-Sp8,1763.490125,4284.908500000001,41060.1715,42758.77905
Gal(a1-3)GalNAc(a1-Sp16,893.1418000000001,2104.8941250000007,7575.996350000001,4956.15325
Gal(a1-3)GalNAc(b1-Sp8,184.090275,1286.1805999999995,32152.53690000001,40805.57342500002
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,86.50865000000003,34.18557499999998,20505.888375,45566.00785
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,177.876125,319.41775,33873.010325,53334.192425
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,114.78464999999998,70.59400000000002,4442.048675000001,39628.54765
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,140.96822500000005,488.97385000000014,7367.325575,38915.759950000014
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,113.99815,9.130250000000023,942.0211250000003,26453.076450000004
Gal(a1-3)Gal(b1-Sp8,186.230275,219.76697500000003,14304.396224999995,32852.926275
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,20.2968,68.10485,17479.2997,41941.79205
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,79.74270000000001,93.19594999999998,11190.578175,35438.23705
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,34.873149999999995,42.895975,34008.142850000004,34983.327475
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,97.278625,46.70977499999999,7357.8959250000025,29085.888050000016
Gal(a1-4)GlcNAc(b1-Sp8,42.369200000000006,27.70450000000001,181.20585,17107.43495
Gal(a1-6)Glc(b1-Sp8,131.02022499999998,49.36002499999999,1082.83475,79.709925
Gal(b1-2)Gal(b1-Sp8,110.56447500000002,70.10165,350.35472500000014,75.59389999999998
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,39.88695000000001,37.409349999999975,158.18617500000005,-5.237399999999994
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,34.20197499999999,-15.091474999999988,381.38340000000005,-10.121875
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,44.84175000000001,12.787149999999995,273.39487500000007,63.49755000000001
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,12.4035,-31.67945,105.572675,-16.309399999999997
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,31.16767500000001,-14.613850000000026,134.7898,-81.90344999999995
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,30.495025,24.029050000000005,104.57955,38.313125
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,202.726425,72.15754999999999,402.0177,137.776675
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,44.9228,29.83982500000001,585.639725,1320.57925
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,138.76272500000005,-5.088025000000002,5547.1268,8453.72915
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,108.499425,561.4327000000002,649.4273249999999,727.0892
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,371.56415,506.392175,4468.346600000002,3457.955724999999
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,104.50395,555.82235,67.90162500000001,409.41377500000016
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,91.41682500000002,54.104175,64.46100000000003,89.75375
Gal(b1-3)GalNAc(a1-Sp8,1273.47075,7064.478724999999,48037.666075,47021.11195000001
Gal(b1-3)GalNAc(a1-Sp14,858.2086749999999,3981.4437,37307.81715,50250.5736
Gal(b1-3)GalNAc(a1-Sp16,1772.299975,6272.146425000003,26060.368725,21338.870075000006
Gal(b1-3)GalNAc(b1-Sp8,123.86634999999998,800.5515249999999,22745.009350000004,37473.50087499998
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,175.680625,677.7460749999998,23608.28155,23087.396975000003
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,32.99570000000001,37.855225,53.57970000000002,35.67057499999999
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,37.625275,27.996950000000005,67.69934999999998,75.23612500000002
Gal(b1-3)Gal(b1-Sp8,50.26470000000001,30.785349999999994,273.154225,10.675425000000004
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,44.64995000000001,1.992149999999988,169.31447500000004,19.066550000000007
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,32.41705,5.866900000000008,33.068349999999995,40.72605
Gal(b1-3)GlcNAc(b1-Sp0,24.108325,-14.37895000000001,1514.2648750000005,34030.990775
Gal(b1-3)GlcNAc(b1-Sp8,56.37412500000001,-10.394824999999985,1022.873,32693.169825
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,39.38092500000001,-5.992024999999992,124.8598,56.67975
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,22.97582500000001,-6.953574999999994,55.169125,42.34665
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,121.3479,71.32785000000001,398.9962,136.67755000000002
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,35.316425,30.780899999999995,72.74045000000002,60.933700000000016
Gal(b1-4)(6S)Glc(b1-Sp0,114.186125,138.515875,511.69185,151.3476250000001
Gal(b1-4)(6S)Glc(b1-Sp8,75.04625,39.4723,458.66792499999985,4.188550000000006
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,29.88662499999999,24.73722499999998,439.6621,742.9403999999997
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,85.37414999999997,62.050275,106.05215,194.533125
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,1730.4823249999995,9380.27425,45889.39320000002,42009.9628
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,1279.2938,5085.2529,38277.857375,38005.316225
