IUPAC,CTB 0.001ug/ml,CTB 0.01ug/ml,CTB 0.1ug/ml,CTB 1ug/ml,CTB 10ug/ml
Gal(a1-Sp8,204.116175,143.4866,197.420275,391.63345,193.26125
Glc(a1-Sp8,143.0498,140.98895,97.236,143.467825,171.3997
Man(a1-Sp8,184.3513,347.726025,336.1836,385.628175,244.142925
GalNAc(a1-Sp8,68.520875,109.08325,113.376975,106.954175,140.80265
GalNAc(a1-Sp15,175.822175,199.0847,158.8544,231.988425,145.0823
Fuc(a1-Sp8,92.67895,69.71695,43.2137,214.31765,166.11005
Fuc(a1-Sp9,168.1763,171.129175,85.4988,141.284325,339.319725
Rha(a1-Sp8,142.992125,128.7625,86.80045,75.711475,105.0192
Neu5Ac(a1-Sp8,196.1426,132.5173,164.846675,187.520675,113.536425
Neu5Ac(a1-Sp11,177.85055,205.3344,147.1017,170.2369,55.235425
Neu5Ac(b1-Sp8,55.003175,140.4557,124.192675,228.081525,137.77195
Gal(b1-Sp8,188.7447,94.9738,81.0802,208.7552,146.34785
Glc(b1-Sp8,155.092475,187.16845,104.155025,127.1397,96.20045
Man(b1-Sp8,198.782275,162.29715,102.687925,127.4874,126.587625
GalNAc(b1-Sp8,141.5369,182.733775,228.544075,239.80745,267.211525
GlcNAc(b1-Sp0,136.720175,176.422025,187.889025,111.229475,134.8265
GlcNAc(b1-Sp8,166.18375,226.245525,126.8494,222.322675,104.82095
GlcN[Gc](b1-Sp8,270.4787,115.507875,77.552325,203.08335,83.595925
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,89.970175,54.445675,65.452975,48.974525,51.717425
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,154.11635,235.357025,88.778475,63.481575,226.28465
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,74.620125,56.588,101.525575,34.3468,109.3223
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,92.33545,21.29755,173.992825,20.47715,58.305125
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,130.013825,81.990225,122.536375,56.869625,76.686625
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,409.0739,432.94345,233.2998,416.54285,390.583575
(3S)Gal(b1-4)Glc(b1-Sp8,193.15675,105.411525,149.471875,205.481075,62.08925
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,123.15065,95.538425,46.2344,78.59965,81.43125
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,115.0173,93.270775,141.58135,132.058,360.3228
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,39.661775,208.40105,57.98945,109.0157,448.378475
(3S)Gal(b1-3)GalNAc(a1-Sp8,87.617275,144.16165,102.4879,128.508125,69.456
(3S)Gal(b1-3)GlcNAc(b1-Sp0,76.433225,80.41055,89.828925,63.827425,-0.0626
(3S)Gal(b1-3)GlcNAc(b1-Sp8,47.1948,9.5361,79.123725,-8.2709,198.563975
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,73.84925,89.46535,132.208225,149.66445,275.5715
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,107.57455,19.566825,84.463175,37.92135,169.051075
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,156.010875,97.539725,44.358025,134.73105,50.035875
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,19.236125,58.23255,74.716325,119.7598,89.373625
(3S)Gal(b1-4)GlcNAc(b1-Sp0,120.619825,0.24055,67.9901,9.229625,58.3847
(3S)Gal(b1-4)GlcNAc(b1-Sp8,55.9015,62.019325,45.56525,62.144875,33.1721
(3S)Gal(b1-Sp8,144.191125,165.788825,105.369525,89.31075,91.752775
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,31.574575,58.8742,130.071875,106.653975,32.767425
(4S)Gal(b1-4)GlcNAc(b1-Sp8,59.981325,105.351825,54.104725,66.53095,24.49665
(6P)Man(a1-Sp8,163.61065,222.1288,81.92795,138.019975,107.97065
(6S)Gal(b1-4)Glc(b1-Sp0,83.75315,85.183525,74.6105,175.23445,132.8834
(6S)Gal(b1-4)Glc(b1-Sp8,97.771175,116.794875,75.36115,67.793775,244.18155
(6S)Gal(b1-4)GlcNAc(b1-Sp8,50.767625,117.819275,110.839475,58.415225,27.49315
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,53.069275,148.450825,252.497125,113.1797,319.424475
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,33.936475,82.501025,14.748125,-23.13745,7.35755
(6S)GlcNAc(b1-Sp8,15.56465,67.951325,138.7696,110.775375,41.409725
"Neu5,9Ac2(a1-Sp8",-0.1356,51.4949,129.66005,42.0927,-16.693925
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",15.7545,24.56345,41.680575,41.7468,26.773725
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,186.410525,202.5442,122.4055,49.6948,145.442975
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,147.724025,217.148375,195.371675,144.53345,195.577425
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,48.935,35.35565,66.65225,60.23635,19.7855
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,112.829675,115.48805,44.103325,24.418475,200.595
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,73.05365,94.002725,89.7284,144.67365,57.702625
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,70.054325,85.260975,32.39605,12.0285,98.44595
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,102.679325,189.14555,54.216675,27.743675,59.2711
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,83.8358,91.535225,42.398375,48.6615,55.90355
