IUPAC,CTB 0.001ug/ml,CTB 0.01ug/ml,CTB 0.1ug/ml,CTB 1ug/ml,CTB 10ug/ml
Gal(a1-Sp8,112.2194666,64.24595546,210.5480425,314.2904891,76.5854787
Glc(a1-Sp8,108.0100865,39.76321888,58.18421398,94.38610786,96.18836215
Man(a1-Sp8,45.41046602,178.1248856,261.5286858,91.51564877,119.9784998
GalNAc(a1-Sp8,29.59876493,28.73518388,48.67416837,40.33782358,166.549905
GalNAc(a1-Sp15,26.89615734,92.51443997,31.43011989,109.5867391,103.0915878
Fuc(a1-Sp8,112.1440652,12.58544171,21.25547678,46.6540177,63.06780193
Fuc(a1-Sp9,102.4067915,59.52752012,69.33209031,81.20618991,357.4781333
Rha(a1-Sp8,91.71679446,102.7228892,75.56519998,87.00359079,71.07651145
Neu5Ac(a1-Sp8,82.36894853,107.6936618,97.16158037,149.783322,54.73997935
Neu5Ac(a1-Sp11,139.917229,211.4652164,104.7109669,36.84166774,46.07336146
Neu5Ac(b1-Sp8,25.2520454,30.61364486,55.65924078,75.38517987,80.59507873
Gal(b1-Sp8,163.686278,107.7015224,5.62386493,87.90602357,65.59289016
Glc(b1-Sp8,82.23959429,115.9282209,86.7650878,62.77285314,38.83393116
Man(b1-Sp8,80.09288935,108.7050676,25.41935777,90.47237074,57.95950782
GalNAc(b1-Sp8,57.04166536,89.06885471,114.253376,136.1169705,179.0534206
GlcNAc(b1-Sp0,62.76415506,46.26370175,103.1635154,55.15159941,40.62902504
GlcNAc(b1-Sp8,69.40313187,88.17605292,23.08514886,110.2389024,132.969781
GlcN[Gc](b1-Sp8,138.2173002,108.3331524,28.84740791,12.45908868,54.99195191
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,69.17610367,68.01236109,41.73931639,51.70114098,53.79494775
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,59.22252849,169.3771793,59.11545907,49.87584285,196.0682056
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,61.8271092,49.214853,64.08935825,51.96212643,79.73092957
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,73.88543507,22.01668633,131.876228,94.78901057,129.9435911
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,160.5298219,27.25686378,157.4775844,43.32671411,116.551423
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,178.6311019,76.29945264,112.8618427,104.6971279,79.33038368
(3S)Gal(b1-4)Glc(b1-Sp8,138.5199741,82.38250853,116.8570599,95.62532209,11.9269125
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,80.4774589,43.39930163,60.14985297,65.1907749,42.43722389
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,60.04200363,63.11956993,59.60897946,37.92705867,459.6490406
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,18.23787188,173.846637,43.26061811,63.63043263,671.3342546
(3S)Gal(b1-3)GalNAc(a1-Sp8,41.59957564,107.9168418,144.826462,102.9007761,90.60705003
(3S)Gal(b1-3)GlcNAc(b1-Sp0,22.65002681,55.5359537,73.09465334,60.28482143,15.23699215
(3S)Gal(b1-3)GlcNAc(b1-Sp8,39.54245708,33.42911002,41.93720412,13.30560675,260.1238644
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,27.91772635,64.65157245,84.20528364,66.06686104,288.7320855
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,78.68453244,44.41367209,82.94932462,45.49360234,166.2595525
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,115.3334806,55.80804233,20.46633295,43.74201822,33.22738116
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,63.1947676,26.4135993,61.18183174,97.87956489,70.57810618
(3S)Gal(b1-4)GlcNAc(b1-Sp0,45.78524749,35.14660294,99.26956454,40.56329204,22.67166876
(3S)Gal(b1-4)GlcNAc(b1-Sp8,52.13087931,20.40146772,57.78425158,46.98708048,29.88702921
(3S)Gal(b1-Sp8,119.476107,37.9596979,44.05940592,103.9557204,37.53099485
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,32.0101233,42.62257094,92.1617406,98.26825498,29.47631488
(4S)Gal(b1-4)GlcNAc(b1-Sp8,28.08111497,87.76655586,45.61821819,42.69596542,25.3576424
(6P)Man(a1-Sp8,141.9103694,70.69090249,61.16673601,50.49672424,31.7801809
(6S)Gal(b1-4)Glc(b1-Sp0,37.71131841,86.76360516,28.69337249,77.64161752,111.8495245
(6S)Gal(b1-4)Glc(b1-Sp8,41.92048855,45.84093153,73.16383797,14.5012742,194.3523892
(6S)Gal(b1-4)GlcNAc(b1-Sp8,40.81488936,110.4064097,43.72620883,89.378666,33.5045164
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,45.11059394,116.721399,112.0310737,87.01212388,192.0188459
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,60.11985888,74.33700652,16.66870614,11.54161481,26.09577943
(6S)GlcNAc(b1-Sp8,31.01386791,90.76425617,94.01010158,33.92813524,15.89902858
"Neu5,9Ac2(a1-Sp8",26.57580851,26.13834866,72.94436677,57.93675861,9.379641462
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",33.48021004,31.23360082,57.22979242,29.4848442,25.28752648
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,68.83753209,55.87885245,102.6159088,29.14217229,72.20882278
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,63.34919292,63.88532192,24.04068853,45.71776205,127.4160391
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,31.51751646,34.91165783,46.36543156,38.06270099,29.82747122
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,91.99714408,73.67653638,27.8692702,17.83694993,115.7687903
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,32.83200825,32.9425207,75.80932018,112.216648,29.87716505
