IUPAC,DBA (0.1ug/ml),DBA (10ug/ml),DBA (100 ug/ml)
Gal(a1-Sp8,10.135425,3.7634,28.8786
Glc(a1-Sp8,11.797775,12.572225,21.869325
Man(a1-Sp8,15.129975,33.65745,35.24255
GalNAc(a1-Sp8,4.5822,9.164625,158.3075
GalNAc(a1-Sp15,28.06785,11.970625,22.05425
Fuc(a1-Sp8,4.007275,0.290075,50.980825
Fuc(a1-Sp9,147.15255,49.136475,400.603525
Rha(a1-Sp8,16.7684,8.3181,4.74775
Neu5Ac(a1-Sp8,9.621,10.558,3.938125
Neu5Ac(a1-Sp11,3.28275,-2.417675,-2.501575
Neu5Ac(b1-Sp8,-1.2281,-10.85275,-5.8206
Gal(b1-Sp8,21.3358,10.723825,2.99495
Glc(b1-Sp8,8.846275,14.3716,9.67655
Man(b1-Sp8,16.857575,13.466975,4.3098
GalNAc(b1-Sp8,-0.342075,13.923575,11.515625
GlcNAc(b1-Sp0,-12.378575,25.516725,-13.83125
GlcNAc(b1-Sp8,13.8328,3.954175,7.257625
GlcN[Gc](b1-Sp8,1.419675,-5.8832,-2.4745
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,15.236575,-7.515775,16.140625
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,-6.945975,0.802375,-31.4313
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,7.67705,5.280875,4.367125
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,-9.047525,-9.719175,-21.226675
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,5.9335,-0.97575,-16.2217
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,81.3953,61.289525,130.444775
(3S)Gal(b1-4)Glc(b1-Sp8,1.399175,13.8713,-3.17385
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,2.7604,6.046425,3.872325
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,6.158925,6.453325,11.355725
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,-1.456625,8.6844,79.233225
(3S)Gal(b1-3)GalNAc(a1-Sp8,-10.108175,-13.2418,-4.1796
(3S)Gal(b1-3)GlcNAc(b1-Sp0,-5.745025,-5.8747,-4.07945
(3S)Gal(b1-3)GlcNAc(b1-Sp8,3.534925,-18.27725,-5.821075
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,9.267575,21.36305,4.917725
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,5.19135,-13.34915,-4.592975
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,17.17075,-10.742425,0.0599
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,-8.39825,-31.02195,-14.334575
(3S)Gal(b1-4)GlcNAc(b1-Sp0,3.996625,6.0672,-11.996575
(3S)Gal(b1-4)GlcNAc(b1-Sp8,6.5923,7.32355,-3.455625
(3S)Gal(b1-Sp8,2.417425,9.9136,-7.98535
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,4.511375,-4.195375,2.341775
(4S)Gal(b1-4)GlcNAc(b1-Sp8,-1.874325,-6.31195,-12.13235
(6P)Man(a1-Sp8,19.774,8.9799,14.828575
(6S)Gal(b1-4)Glc(b1-Sp0,-4.77405,-1.4733,-22.759975
(6S)Gal(b1-4)Glc(b1-Sp8,14.2105,14.249325,5.71885
(6S)Gal(b1-4)GlcNAc(b1-Sp8,-13.3212,-19.5473,-27.005675
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,5.98365,-0.388425,-2.76
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,5.96715,-6.8439999999999985,-13.677675
(6S)GlcNAc(b1-Sp8,4.64935,-7.178575,-1.350975
"Neu5,9Ac2(a1-Sp8",-9.9192,-20.67955,-26.79725
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",4.44405,-4.33265,-4.4259
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,8.424275,26.819625,-2.44375
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,1.898325,13.322425,-1.827575
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,9.49515,5.333075,-0.3643
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,-2.88385,-3.7262,-5.659
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,5.1186,1.11185,7.4266
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,10.670025,9.22575,-4.473875
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,4.304775,-16.67835,-5.488025
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,9.764875,14.52645,2.307975
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,23.658975,17.0274,25.897125
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,21.040875,8.48435,15.6156
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,13.22485,6.35275,22.609325
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,-3.893025,5.4681,-3.350075
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,2.479175,24.172625,3.49805
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,16.25705,8.3399,10.5187
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,-6.0332,5.2673,-10.12555
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,-0.51255,-0.03825,4.276375
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,-1.079025,2.587,-16.6901
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,7.229225,-14.197625,2.716975
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,-7.448225,-12.6341,-20.2179
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,22.27275,13.224775,-0.5988
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,16.5659,53.27765,-7.466
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,46.2172,14.81295,43.0909
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,11.032,4.117525,-4.4138
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,35.562725,-2.47855,3874.687925
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,9.44815,-5.523925,704.8301
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-1.868775,9.249725,2387.502925
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,31.670775,1.84985,121.029225
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,17.9981,-3.917975,995.756175
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,31.1824,9.309275,24.40765
Fuc(a1-2)Gal(b1-Sp8,22.76075,6.8199,338.550125
Fuc(a1-3)GlcNAc(b1-Sp8,17.799225,1.002275,46.4708
Fuc(a1-4)GlcNAc(b1-Sp8,-0.289125,-1.62305,67.23895
Fuc(b1-3)GlcNAc(b1-Sp8,11.407225,2.95995,17.041075
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,-2.879225,22.663375,-4.333225
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,37.743575,101.982575,71.498675
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,7.588325,2.463625,3.556975
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,4.67055,4.587,4749.62645
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,2.30295,86.28475,947.204725
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,-6.50765,109.3354,1463.17195
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,7.172125,0.62345,6.983825
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,-13.109875,13.29085,505.68505
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,12.4804,-3.09365,22.0016
GalNAc(a1-3)GalNAc(b1-Sp8,1598.47715,18817.14837,28979.22148
GalNAc(a1-3)Gal(b1-Sp8,1.33465,20.935825,120.200675
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,8.319075,147.208675,74.158125
GalNAc(b1-3)GalNAc(a1-Sp8,13.6038,-9.3234,2.974375
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,-3.5644,-10.96425,2.677975
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,2.82555,-13.761125,9.7417
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.1960000000000015,36.861775,19.173525
GalNAc(b1-4)GlcNAc(b1-Sp0,14.342325,191.18595,1038.9719
GalNAc(b1-4)GlcNAc(b1-Sp8,12.004925,20.4762,113.5806
Gal(a1-2)Gal(b1-Sp8,2.313075,-5.6403,12.691175
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,7.92955,10.8094,-2.2325
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,7.9176,13.231275,15.101075
