IUPAC,DBA (0.1ug/ml),DBA (10ug/ml),DBA (100 ug/ml)
Gal(a1-Sp8,11.61883551,10.66171453,24.57000624
Glc(a1-Sp8,10.90654503,10.09285795,18.27890241
Man(a1-Sp8,6.902028712000001,20.7860797,29.06376869
GalNAc(a1-Sp8,8.09066721,6.945606995,13.34922212
GalNAc(a1-Sp15,9.839133452999999,10.27329249,23.37201661
Fuc(a1-Sp8,11.40109651,7.882669793,13.85079823
Fuc(a1-Sp9,74.10661866,12.81513351,58.91314708
Rha(a1-Sp8,21.10347361,13.81397157,4.591628775
Neu5Ac(a1-Sp8,20.99055207,22.76966252,7.8695387000000006
Neu5Ac(a1-Sp11,8.386216592,5.182072417,10.03500025
Neu5Ac(b1-Sp8,9.319064759,4.5452457189999995,4.941558784
Gal(b1-Sp8,16.532575899999998,20.600516100000004,4.877198076
Glc(b1-Sp8,19.10481702,5.614948148,11.20453621
Man(b1-Sp8,3.8914156660000003,10.96998273,13.12644687
GalNAc(b1-Sp8,6.238370737,9.065662912999999,4.1335513310000005
GlcNAc(b1-Sp0,4.826971867,22.95673647,14.03871552
GlcNAc(b1-Sp8,9.576626258,15.69584573,12.11871661
GlcN[Gc](b1-Sp8,4.977363035,14.19684794,5.5276482829999996
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,12.69111346,6.179782585,14.33664602
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,6.224283581,12.43341548,11.67525055
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,12.99158685,13.15609722,14.04884164
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,3.959880063,6.178951848,17.16398338
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,3.056225341,12.46907318,9.986286025
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,38.36303479,22.16881601,51.26731706
(3S)Gal(b1-4)Glc(b1-Sp8,10.11028688,4.749447288,4.2679968960000005
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,9.342836454,14.51092141,10.63919761
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,7.490517365,3.955279238,8.370691097
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,4.086920062,23.31922539,44.85764345
(3S)Gal(b1-3)GalNAc(a1-Sp8,1.241456812,5.37459576,7.201840384
(3S)Gal(b1-3)GlcNAc(b1-Sp0,10.20582823,4.275524571,6.000586962000001
(3S)Gal(b1-3)GlcNAc(b1-Sp8,15.70946776,12.27403146,12.62426237
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,11.94187227,10.86168984,6.937566541
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,11.38435109,3.4120698139999996,5.55297019
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,36.42668756,6.305663833,5.26217035
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,4.256069151,4.5318844469999995,16.95576122
(3S)Gal(b1-4)GlcNAc(b1-Sp0,8.976887815,23.13329204,3.85121947
(3S)Gal(b1-4)GlcNAc(b1-Sp8,11.23585547,4.693405505,2.350274024
(3S)Gal(b1-Sp8,7.098817896,15.07355751,5.387278267
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,4.13659409,9.179844167,7.446843053999999
(4S)Gal(b1-4)GlcNAc(b1-Sp8,2.4593904280000003,2.366874656,8.803937846
