IUPAC,ECL 0.01ug/ml,ECL 0.5ug/ml,ECL 1ug/ml,ECL 5ug/ml,ECL 50ug/ml
Gal(a1-Sp8,19.495125,11.4968,-0.2159,10.899175,18.376625
Glc(a1-Sp8,8.25035,15.8541,22.6048,23.718000000000004,8.8448
Man(a1-Sp8,17.481075,16.38045,24.096275,28.546375,9.433375
GalNAc(a1-Sp8,0.875275,7.186275,-5.317525,-0.63205,-2.46625
GalNAc(a1-Sp15,20.890225,106.216275,35.4148,-1.2371,7.747275
Fuc(a1-Sp8,6.487425,12.4274,5.141425,-12.0033,-1.4365
Fuc(a1-Sp9,-8.4029,11.298825,-7.481325,-2.614425,-14.651675
Rha(a1-Sp8,9.11315,-2.469975,5.659975,9.749475,7.3999
Neu5Ac(a1-Sp8,-2.31225,5.730875,-15.98195,-5.3388,-17.053575
Neu5Ac(a1-Sp11,-3.551325,3.295925,-19.91025,0.717875,-8.9877
Neu5Ac(b1-Sp8,-6.01705,-4.359475,-12.370975,-16.04405,-18.892825
Gal(b1-Sp8,8.70805,5.747525,3.1032,24.094975,14.068125
Glc(b1-Sp8,13.197525,21.039725,8.7161,17.286875,14.954275
Man(b1-Sp8,5.8297,2.219975,3.27415,2.8536,1.53195
GalNAc(b1-Sp8,22.113025,18.0922,3.223775,6.421575,30.191425
GlcNAc(b1-Sp0,2.249325,0.294225,-16.059475,-0.4062,-18.0487
GlcNAc(b1-Sp8,2.909325,6.511575,-10.237625,6.29735,11.5075
GlcN[Gc](b1-Sp8,21.065625,-2.2761,3.49705,-4.2166,5.96685
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,16.570225,134.66345,491.678475,3068.016425,11222.0413
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,14.66925,13.85595,63.7416,2725.745075,2993.47695
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,25.351275,15.652125,6.384375,-3.998425,2.322475
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,-15.895225,-0.74045,-31.696475,-23.08405,-58.7111
