IUPAC,ECL 0.01ug/ml,ECL 0.5ug/ml,ECL 1ug/ml,ECL 5ug/ml,ECL 50ug/ml
Gal(a1-Sp8,19.72169119,9.43545001,6.598811124,8.603504581000001,19.91760347
Glc(a1-Sp8,5.059013396,6.552544383,26.30486157,14.48353402,16.45837195
Man(a1-Sp8,6.882342125,10.03746856,17.32840985,23.87909286,15.88095879
GalNAc(a1-Sp8,5.530190318,8.460596441,15.88037172,10.35295687,8.899358206
GalNAc(a1-Sp15,17.15085405,187.1484255,12.99029991,7.354724574,9.525857607999999
Fuc(a1-Sp8,18.18700402,22.71976649,23.75834328,2.816113687,8.797110317000001
Fuc(a1-Sp9,4.8644435580000005,16.38834986,17.38712396,4.190774775,9.084049198999999
Rha(a1-Sp8,11.75803173,4.762791858,11.76113868,26.87122887,13.84248225
Neu5Ac(a1-Sp8,2.743162587,11.53601591,15.15835189,3.8228354760000003,6.926930456
Neu5Ac(a1-Sp11,3.3219476589999997,13.71222793,7.776139785,19.91567344,12.34488373
Neu5Ac(b1-Sp8,3.818679229,3.178398029,7.5355775,13.50582852,20.28934103
Gal(b1-Sp8,11.86951183,9.746683638,16.11211158,24.90030227,12.94626024
Glc(b1-Sp8,30.37128211,16.78287459,10.72398496,27.32608446,11.51411751
Man(b1-Sp8,3.8012206739999996,1.852737764,8.441974434,7.931228971,13.91021832
GalNAc(b1-Sp8,5.337078431,10.48042496,7.8576886360000024,11.20879469,47.84979438
GlcNAc(b1-Sp0,2.9486218689999997,12.5560485,11.45272141,5.637856984,14.91299903
GlcNAc(b1-Sp8,2.142115804,11.39132957,9.685948828999999,13.3123883,13.19595496
GlcN[Gc](b1-Sp8,19.69250793,12.77101142,18.12892532,4.267510549,13.07930986
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,16.27725781,28.01255218,50.05955306,252.15804599999998,1082.193825
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,6.474868152000001,13.137252199999999,61.93628091,176.23027109999995,348.57923460000006
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,21.63953451,10.50098283,10.16922767,7.318029866,8.836891404
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,10.14526106,15.87764309,14.42748763,5.477766991,13.67844023
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,8.625845588999999,5.018461052,6.884399755,8.339261758,10.722695
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,62.57860423,28.8939548,30.89527048,13.86352196,38.24968259
(3S)Gal(b1-4)Glc(b1-Sp8,14.054960199999998,4.241267785,5.636729057999999,7.816053705,12.71840293
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,4.954626121,11.74325411,7.378270201,9.762674559,4.916934503999999
