IUPAC,Gal-3C (0.5ug/ml),Gal-3C (2ug/ml),Gal-3C (5ug/ml),Gal-3C (20ug/ml),Gal-3C (50ug/ml)
Gal(a1-Sp8,14.307025000000005,17.839300000000005,46.95507500000002,12.575375000000005,22.160975
Glc(a1-Sp8,20.951025,18.0777,24.438875,21.465975,26.972675
Man(a1-Sp8,32.055675,20.944025,30.5711,25.9342,30.750625
GalNAc(a1-Sp8,30.889325000000003,13.496225,28.18935,10.909375,39.992
GalNAc(a1-Sp15,37.9034,17.857274999999994,23.329375,13.30975,30.98617500000001
Fuc(a1-Sp8,15.72225,13.044150000000005,21.87335,24.1898,10.166325
Fuc(a1-Sp9,88.063975,85.19012500000002,83.50637499999998,71.28980000000001,114.440625
Rha(a1-Sp8,19.134425,10.518349999999998,10.952350000000004,21.476225000000003,37.923625
Neu5Ac(a1-Sp8,20.040625,14.807000000000002,28.34635,22.633275000000005,25.9439
Neu5Ac(a1-Sp11,15.332950000000002,20.664350000000006,20.70145,19.180525,30.61727500000001
Neu5Ac(b1-Sp8,3.563625,3.459424999999998,13.104825,12.863499999999998,21.225299999999987
Gal(b1-Sp8,23.227999999999994,21.0617,11.772875000000004,24.34195,28.9782
Glc(b1-Sp8,17.630075000000005,13.996699999999995,20.1012,21.106725000000004,22.68105
Man(b1-Sp8,21.369925,17.277475000000006,10.194525,26.565825,16.044099999999997
GalNAc(b1-Sp8,28.573525000000004,26.55534999999999,33.262575000000005,27.83784999999999,41.3959
GlcNAc(b1-Sp0,22.78345,21.236925000000006,22.1444,10.341099999999997,26.29407500000001
GlcNAc(b1-Sp8,14.2183,13.105225,23.584299999999992,9.625849999999998,38.709925
GlcN[Gc](b1-Sp8,23.033125,20.795675000000006,18.856675000000006,44.6387,15.022525000000002
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,22.342925,12.39465,14.890625,32.71517499999999,41.47402499999999
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,19.116375,19.388975,29.99270000000001,18.702300000000005,65.33477500000001
