IUPAC,GNL (0.1ug/ml),GNL (1ug/ml),GNL (10 ug/ml),GNL (100ug/ml)
Gal(a1-Sp8,7.812224999999998,-2.4989500000000007,3.818125,4.470924999999999
Glc(a1-Sp8,6.3218,4.667525000000001,14.544625,31.513800000000003
Man(a1-Sp8,19.252275000000004,6.918149999999998,23.119225,47.79939999999999
GalNAc(a1-Sp8,2.79465,4.402899999999999,8.649900000000004,-1.5596749999999986
GalNAc(a1-Sp15,10.252525000000006,4.903275000000004,5.581575000000006,14.60345
Fuc(a1-Sp8,2.3298250000000014,0.3577499999999958,0.5631000000000004,-1.1748999999999992
Fuc(a1-Sp9,1.7852249999999967,-4.5554999999999986,-6.388874999999999,-2.599675000000003
Rha(a1-Sp8,-3.226574999999998,-4.334524999999998,3.557025000000003,-0.5010249999999967
Neu5Ac(a1-Sp8,-7.1849000000000025,-1.7096250000000026,5.3838500000000025,26.71419999999999
Neu5Ac(a1-Sp11,-5.762324999999999,-7.3012,6.232599999999998,2.966075
Neu5Ac(b1-Sp8,-0.4223999999999997,-2.292125000000002,10.334174999999998,1.4933250000000058
Gal(b1-Sp8,17.06245,-4.158699999999998,9.86265,17.187224999999998
Glc(b1-Sp8,15.216999999999995,-0.9395000000000008,9.4811,5.191224999999998
Man(b1-Sp8,-7.0420750000000005,-4.939525000000003,4.713275000000003,0.3822749999999981
GalNAc(b1-Sp8,-2.23375,2.163125,3.3390000000000004,10.305399999999997
GlcNAc(b1-Sp0,3.001925,5.570099999999997,23.664199999999994,1.5116250000000004
GlcNAc(b1-Sp8,-11.229599999999996,-6.081649999999998,-4.405625,8.808299999999997
GlcN[Gc](b1-Sp8,-9.088224999999998,-0.20662499999999887,6.316050000000002,1.55125
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,-2.3988499999999977,9.82975,13.83425,-2.6640250000000023
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,1.2558999999999934,1.3029249999999983,12.733225000000008,-4.15115
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,11.494749999999994,-0.30860000000000204,8.2319,10.831750000000005
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,-19.314025,-7.445350000000002,7.716875,-9.088800000000004
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,-9.702275000000002,-9.5636,-1.0645249999999962,-3.5016000000000007
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,-2.4685500000000005,16.418400000000005,30.44625,24.70005
(3S)Gal(b1-4)Glc(b1-Sp8,3.474725000000001,3.7652750000000026,14.7602,5.175774999999998
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,2.8838500000000007,-1.9454499999999992,-0.3888499999999997,1.4138749999999982
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,5.484799999999997,4.853774999999999,0.22042500000000054,0.19440000000000168
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,10.661025,0.07404999999999706,0.8800749999999979,-5.520875000000002
(3S)Gal(b1-3)GalNAc(a1-Sp8,-10.826199999999993,-5.756,-1.2835249999999974,3.222674999999981
(3S)Gal(b1-3)GlcNAc(b1-Sp0,-10.804399999999998,-1.839174999999997,-7.008775000000003,-2.481625
(3S)Gal(b1-3)GlcNAc(b1-Sp8,4.034799999999999,-11.858899999999998,-7.974850000000003,-0.35002500000000225
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,2.8658750000000026,-5.199724999999999,8.833200000000003,9.3419
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,11.265450000000005,-3.0602250000000013,-5.955275000000002,-1.8077250000000007
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,-5.754525000000001,-8.6435,-8.616974999999998,-1.3680749999999993
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,-14.442975000000002,-1.4523000000000057,1.2714250000000007,-1.280025000000001
(3S)Gal(b1-4)GlcNAc(b1-Sp0,-9.374725,-1.1445000000000023,8.333975000000002,-4.054325
(3S)Gal(b1-4)GlcNAc(b1-Sp8,-5.945249999999998,-3.838149999999999,1.0290499999999998,-0.5544749999999983
(3S)Gal(b1-Sp8,-4.745849999999997,0.6785749999999986,-0.023750000000001492,7.627999999999999
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,-0.8990500000000008,-6.213450000000001,6.4646250000000025,9.734750000000002
(4S)Gal(b1-4)GlcNAc(b1-Sp8,-6.796925,-4.400324999999999,-0.8376749999999973,-0.4392500000000013
(6P)Man(a1-Sp8,-1.8634749999999976,8.275250000000002,4.461300000000001,1.0914750000000026
(6S)Gal(b1-4)Glc(b1-Sp0,2.7860250000000018,4.748324999999999,6.091175,1.6881000000000004
(6S)Gal(b1-4)Glc(b1-Sp8,3.5398750000000003,1.2100249999999981,4.76375,7.300775000000002
(6S)Gal(b1-4)GlcNAc(b1-Sp8,-25.586275,-16.366525,9.27795,-2.149425000000001
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,-0.4703750000000024,2.3788500000000017,13.217225000000004,1.048125
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,-5.625975,10.88335,6.735775000000004,-10.605075
(6S)GlcNAc(b1-Sp8,1.1719999999999988,0.22347500000000053,-3.313175,4.485500000000002
"Neu5,9Ac2(a1-Sp8",-20.54515,-17.582349999999963,-2.535749999999996,-6.833575000000002
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",5.712150000000001,-6.47075,2.2147500000000004,-2.2075250000000013
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,2108.50185,4981.822425,6299.788450000001,7924.78565
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,2563.7914,11387.789449999998,10184.026975,14340.35115
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,7.605750000000002,-2.2574749999999995,12.6129,153.3053
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,-3.0557750000000024,19.649450000000005,371.78365000000014,2448.1435
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,5.945149999999997,-2.739049999999999,-9.603699999999996,197.52705
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,0.209975,-5.288825000000001,-1.8341750000000017,-2.2670249999999994
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,-2.2185000000000024,-1.0519500000000015,-1.747300000000001,10.3763
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,-4.601125,-4.946875,-2.0292250000000003,14.6634
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,2.6557249999999986,-4.453800000000003,10.744175000000002,6.982149999999999
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,-1.4480249999999977,-2.8298250000000014,15.845875000000007,5.972100000000001
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,2.703199999999999,5.844624999999998,1.1197250000000007,1.7262749999999991
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,-5.521375000000003,-3.7403250000000017,8.5423,1.5189999999999992
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,-3.1297250000000005,1.5779749999999997,-3.1027249999999995,1.9523499999999991
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,13.557924999999996,-8.610425,4.066925000000003,-4.852875000000001
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,2.563599999999994,-4.320450000000001,11.4971,13.685525000000005
