IUPAC,HAA 0.1ug/ml,HAA 1ug/ml,HAA 10ug/ml,HAA 100ug/ml
Gal(a1-Sp8,10.1388,11.496625000000002,60.6446,31.6262
Glc(a1-Sp8,11.455150000000005,10.427325000000003,57.053625,17.630850000000006
Man(a1-Sp8,17.9914,8.4405,12.956074999999998,0.916475000000002
GalNAc(a1-Sp8,116.26494999999996,794.0920249999997,11928.497600000004,32622.0684
GalNAc(a1-Sp15,54.850124999999984,77.54367500000002,3698.511825,19668.6072
Fuc(a1-Sp8,2.013625000000001,5.153624999999998,3.676375,-4.768474999999998
Fuc(a1-Sp9,-2.156775,2.343875000000001,13.113800000000005,-8.657225000000002
Rha(a1-Sp8,15.8885,2.8115250000000014,5.289024999999999,55.941875
Neu5Ac(a1-Sp8,-8.269074999999997,1.0797500000000009,12.175075,-12.96625
Neu5Ac(a1-Sp11,1.0360499999999997,5.46635,4.660225,-10.904099999999998
Neu5Ac(b1-Sp8,1.392125000000001,3.905149999999999,5.988624999999999,-7.757575
Gal(b1-Sp8,12.459775,8.179900000000002,12.8202,-1.0471750000000242
Glc(b1-Sp8,4.167700000000001,4.9220500000000005,10.151600000000002,11.786225
Man(b1-Sp8,15.90105,2.4191000000000003,2.85055,27.875125
GalNAc(b1-Sp8,6.110474999999997,8.918600000000003,6.593374999999999,2916.4303999999993
GlcNAc(b1-Sp0,3.022625000000001,4.897975,13.8995,7.532474999999999
GlcNAc(b1-Sp8,10.604799999999996,1.3978000000000002,4.645099999999999,18.74072500000001
GlcN[Gc](b1-Sp8,11.67395,2.15515,13.06219999999999,9.38855
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,46.43935,11.587675,6.1599,2.1291
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,8.556075,10.941224999999996,9.994675,15.531775
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,1.2546999999999997,5.6057000000000015,6.120024999999997,-6.148525000000002
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,3.9022499999999978,2.2074250000000006,0.6601249999999985,-9.431524999999997
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,-1.189925,7.0324500000000025,3.1468500000000006,-13.59555
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,37.940475,0.24482499999999874,22.435475,36.094649999999966
(3S)Gal(b1-4)Glc(b1-Sp8,11.832049999999995,12.685925,32.20855,16.965325000000004
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,7.61435,5.240875,9.205524999999998,11.333800000000005
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,8.477525,4.086749999999999,15.927575,9.481575000000003
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,3.3460500000000053,0.7979499999999997,1.6191250000000013,22.810475
(3S)Gal(b1-3)GalNAc(a1-Sp8,44.560475,361.966825,13913.672249999998,42353.27947500002
(3S)Gal(b1-3)GlcNAc(b1-Sp0,2.7194749999999988,4.389975,1.8285,-8.98865
(3S)Gal(b1-3)GlcNAc(b1-Sp8,22.3249,8.742024999999998,0.5895000000000001,17.141825000000004
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,14.371999999999998,7.279299999999999,13.1635,35.10455
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,-2.6399500000000016,10.6293,1.7630249999999998,-14.416175000000004
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,11.419899999999995,7.534325000000003,12.777225,4.174725000000001
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,5.5197249999999976,1.4245999999999992,-2.7163250000000003,-10.2137
(3S)Gal(b1-4)GlcNAc(b1-Sp0,12.883025000000005,8.152575,7.100250000000001,-0.3819750000000015
(3S)Gal(b1-4)GlcNAc(b1-Sp8,2.6916749999999987,4.283799999999999,1.0563249999999993,22.373675
(3S)Gal(b1-Sp8,3.0060999999999987,-0.1716249999999997,4.85715,17.592900000000004
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,4.327200000000001,1.8064250000000044,6.7268500000000016,5.6548000000000025
(4S)Gal(b1-4)GlcNAc(b1-Sp8,4.528224999999998,3.8503000000000025,8.58605,8.597149999999997
(6P)Man(a1-Sp8,4.1647750000000014,5.07565,0.6988500000000002,22.630625
(6S)Gal(b1-4)Glc(b1-Sp0,7.252600000000001,10.066375,3.1334,16.232425
