IUPAC,MOA (0.1ug/ml),MOA (1ug/ml),MOA (10ug/ml)
Gal(a1-Sp8,9.318782368,9.718536683,5.960180498
Glc(a1-Sp8,3.73984451,9.368535506,8.035387628
Man(a1-Sp8,5.595792381,8.508377993,12.61055836
GalNAc(a1-Sp8,2.853869937,11.78406358,5.307977925
GalNAc(a1-Sp15,16.3888999,17.19029679,19.18826251
Fuc(a1-Sp8,11.78968294,20.99709817,2.577975372
Fuc(a1-Sp9,11.18549403,11.0581782,8.108181688
Rha(a1-Sp8,19.45838819,11.50361666,9.183910128
Neu5Ac(a1-Sp8,7.913689719,2.201128796,5.911532701
Neu5Ac(a1-Sp11,16.8301563,9.639617117,7.842359934
Neu5Ac(b1-Sp8,15.99279248,8.089785704,4.179930104
Gal(b1-Sp8,4.894419162,8.333709442,9.4751909
Glc(b1-Sp8,3.526677955,4.40502412,6.223724843
Man(b1-Sp8,15.74584827,14.95166504,9.222196364
GalNAc(b1-Sp8,4.910234509,8.618692857,10.15844871
GlcNAc(b1-Sp0,5.001137315,14.05181029,4.324290107
GlcNAc(b1-Sp8,7.252324638,4.537959122,7.234967861
GlcN[Gc](b1-Sp8,2.966987757,14.16214178,13.48475654
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,9.825866646,4.493083985,11.24907614
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,5.758077168,9.234633211,8.439527089
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,11.56587023,18.02436662,4.749924139
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,2.908562819,7.368808205,6.44063828
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,13.02221055,4.947345908,7.066419484
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,6.139063641,8.036940698,9.617575578
(3S)Gal(b1-4)Glc(b1-Sp8,5.983483639,4.437071544,7.088109299
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,3.843156265,5.087848891,6.129441257
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,9.609211197,8.963122219,3.974170091
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,5.601237842,18.44195776,2.920419211
(3S)Gal(b1-3)GalNAc(a1-Sp8,8.687467565,7.116987182,6.083136206
(3S)Gal(b1-3)GlcNAc(b1-Sp0,8.068892665,5.541812752,5.847670324
(3S)Gal(b1-3)GlcNAc(b1-Sp8,9.393535682,9.299883518,7.782782064
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,29.17909288,8.842488311,11.40360023
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,10.93785365,2.129126757,4.938926945
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,7.223807883,8.838699475,5.672587669
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,3.47661393,4.328248534,0.894897105
(3S)Gal(b1-4)GlcNAc(b1-Sp0,4.909579379,9.604263183,3.246322095
(3S)Gal(b1-4)GlcNAc(b1-Sp8,17.81308593,4.435737233,2.70420885
(3S)Gal(b1-Sp8,4.850215556,7.41548624,6.242483762
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,4.540777551,5.612605371,5.704555211
(4S)Gal(b1-4)GlcNAc(b1-Sp8,3.029954403,2.534319058,7.208685788
(6P)Man(a1-Sp8,6.67640616,16.01166741,5.435046643
(6S)Gal(b1-4)Glc(b1-Sp0,4.845996865,5.297521338,6.639639769
(6S)Gal(b1-4)Glc(b1-Sp8,14.31429082,4.565901659,10.63192553
(6S)Gal(b1-4)GlcNAc(b1-Sp8,11.21458104,13.38824945,6.663958041
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,5.713353305,8.167643249,4.021961567
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,8.978084649,5.082659578,5.232690697
(6S)GlcNAc(b1-Sp8,3.910028676,10.10804502,6.775528048
"Neu5,9Ac2(a1-Sp8",10.92631395,9.379581576,6.70558203
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",5.779744467,3.276916969,4.905949205
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,5.979223056,10.81745464,2.741431854
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,4.227507383,9.749224236,5.245747547
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,10.53710774,14.27082833,5.191614763
