IUPAC,PNA 0.1ug/ml,PNA 1ug/ml,PNA 10ug/ml,PNA 100ug/ml
Gal(a1-Sp8,8.780725,30.9497,15.789825,17.5567
Glc(a1-Sp8,15.534875,17.425375,5.881275,25.69585
Man(a1-Sp8,25.58515,12.88775,5.063675,16.904125
GalNAc(a1-Sp8,15.14365,11.005475,14.319375,22.034525
GalNAc(a1-Sp15,20.4012,8.170675,12.172475,14.09755
Fuc(a1-Sp8,2.154075,12.213925,7.138,4.028725
Fuc(a1-Sp9,16.058175,11.149725,12.9646,12.864
Rha(a1-Sp8,8.3253,7.237,1.9395,-0.283325
Neu5Ac(a1-Sp8,9.648925,32.4685,5.75615,13.952575
Neu5Ac(a1-Sp11,13.778025,26.715625,3.19445,11.0118
Neu5Ac(b1-Sp8,13.2786,8.86485,8.155775,3.50605
Gal(b1-Sp8,15.503,18.8695,6.3821,32.9051
Glc(b1-Sp8,14.343725,9.2691,37.327925,24.972675
Man(b1-Sp8,11.7579,11.81005,8.25945,31.1883
GalNAc(b1-Sp8,26.597375,23.14835,6.77425,28.29745
GlcNAc(b1-Sp0,11.717475,18.67525,7.298075,38.93875
GlcNAc(b1-Sp8,29.7061,14.972375,4.8233,20.407275
GlcN[Gc](b1-Sp8,12.842725,12.477175,4.377425,23.36275
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,13.974875,12.4163,9.95375,7.017625
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,-0.930125,14.83895,15.3427,22.08095
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,10.154775,23.399475,7.943125,1.65
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,2.0954,24.006175,7.6349,-5.8563
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,-0.908075,16.7896,4.14415,-17.510875
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,51.8173,45.14615,21.12855,60.743175
(3S)Gal(b1-4)Glc(b1-Sp8,5.14135,12.330175,8.317225,23.430175
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,0.693275,10.2216,5.947675,5.466375
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,13.585,5.24665,9.809825,10.483725
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,3.952725,6.120375,1.8653,-0.07625
(3S)Gal(b1-3)GalNAc(a1-Sp8,-4.257475,-0.927325,5.08725,-0.2822
(3S)Gal(b1-3)GlcNAc(b1-Sp0,-4.4833,15.2638,0.72315,-1.319125
(3S)Gal(b1-3)GlcNAc(b1-Sp8,0.8901,12.75855,3.5077,-12.3977
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,1.848275,11.116925,16.671225,10.317025
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,0.667775,12.101575,7.62605,12.016125
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,-0.3628,14.11605,11.57125,-3.365525
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,-3.7616,11.629975,-0.223775,-7.7672
(3S)Gal(b1-4)GlcNAc(b1-Sp0,9.33285,19.26385,9.032175,-7.16285
(3S)Gal(b1-4)GlcNAc(b1-Sp8,-1.71415,20.331075,4.440125,10.551375
(3S)Gal(b1-Sp8,2.551825,13.8205,15.4959,21.21435
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,0.4797,16.80795,14.474325,0.943225
(4S)Gal(b1-4)GlcNAc(b1-Sp8,-0.9761,6.039525,3.3013,-10.326425
(6P)Man(a1-Sp8,3.488325,7.49935,16.365325,-3.789575
(6S)Gal(b1-4)Glc(b1-Sp0,6.898475,16.1268,3.459975,4.0497
(6S)Gal(b1-4)Glc(b1-Sp8,15.65375,8.74335,22.380625,28.673275
(6S)Gal(b1-4)GlcNAc(b1-Sp8,-8.679075,6.99515,6.3105,-7.5155
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,6.22665,18.160875,2.786075,-2.754325
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,0.416725,14.16515,2.5942,-4.604175
(6S)GlcNAc(b1-Sp8,6.004125,5.473375,-0.22935,36.3823
"Neu5,9Ac2(a1-Sp8",-6.501125,8.724425,4.5847,-7.447375
