IUPAC,PNA 0.1ug/ml,PNA 1ug/ml,PNA 10ug/ml,PNA 100ug/ml
Gal(a1-Sp8,5.718881675,18.72700188,11.81674758,15.73147847
Glc(a1-Sp8,17.61156324,8.148764034,4.704348555,12.56063774
Man(a1-Sp8,4.568273025,6.555255497,7.031009527,12.12166557
GalNAc(a1-Sp8,7.639473627,15.2981889,2.097229141,13.02498211
GalNAc(a1-Sp15,13.77035422,2.586509752,13.96058602,16.26495437
Fuc(a1-Sp8,7.426670109,3.849274627,15.65027929,8.722321015
Fuc(a1-Sp9,12.64887542,4.44535384,5.843939109,13.29789318
Rha(a1-Sp8,7.739428957,2.8705891560000003,3.901623859,3.465137087
Neu5Ac(a1-Sp8,3.686056418,15.88924612,3.988396056,20.74398256
Neu5Ac(a1-Sp11,13.28278124,8.549404154,3.3131227739999995,5.697087087000001
Neu5Ac(b1-Sp8,20.29199196,2.089418644,9.411272662,7.144700857999999
Gal(b1-Sp8,15.05998635,6.475413556,4.640574191000001,33.00576324
Glc(b1-Sp8,13.86716085,6.644426229,9.774974713999999,22.23330947
Man(b1-Sp8,19.72357704,2.6602243999999997,3.6369246719999997,11.0688826
GalNAc(b1-Sp8,26.70454016,7.724641559,4.696904108,21.58974569
GlcNAc(b1-Sp0,11.56703802,11.69753232,2.632393268,29.13713596
GlcNAc(b1-Sp8,15.59856246,6.303658601,2.055961755,10.70079629
GlcN[Gc](b1-Sp8,5.925977996,3.307470697,2.735926063,15.86247552
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,8.644561174,5.685168021,8.817097092000001,13.56641262
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,7.3372650560000015,6.826443517,12.55207494,17.98711762
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,9.151732047000001,14.82482588,4.4392406939999995,4.515480965
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,11.45842345,22.27389057,9.842151837000001,8.443651848
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,18.72404817,12.29415132,6.988945587999999,4.530107995
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,23.20953718,18.88280697,12.59596943,42.59520652
(3S)Gal(b1-4)Glc(b1-Sp8,11.72161781,10.39460974,10.42424739,20.63812571
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,3.417685975,7.276591692999999,6.60108441,1.9113753709999999
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,4.4164291019999995,5.724348947999999,4.662820459,19.54229579
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,6.429918224,4.370573619,4.3811929360000015,1.459072058
(3S)Gal(b1-3)GalNAc(a1-Sp8,7.987189849,6.894042044,6.370933149,4.27837929
(3S)Gal(b1-3)GlcNAc(b1-Sp0,10.1962151,9.915624689,4.408017905,11.13882012
(3S)Gal(b1-3)GlcNAc(b1-Sp8,7.581780527,6.653114045,7.947040287,9.00286461
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,3.3637929989999997,8.219821606,7.6013944979999994,10.06478557
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,4.823908241,8.412303713,6.047861847999999,26.13213231
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,5.3463154,8.033069361,7.202043903,10.48044867
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,12.75521399,6.1169578410000005,8.514591112,4.781877021000001
(3S)Gal(b1-4)GlcNAc(b1-Sp0,4.293037084,8.932790163,7.3936604039999985,4.38777068
(3S)Gal(b1-4)GlcNAc(b1-Sp8,4.525498311000001,22.19027182,4.832499693,2.25462763
(3S)Gal(b1-Sp8,10.38799997,8.886831217000001,9.425647049,6.229081487
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,4.273852224,8.045080333,4.201439738,7.442087176
(4S)Gal(b1-4)GlcNAc(b1-Sp8,6.148667355,2.606868251,1.172768289,5.259414554
(6P)Man(a1-Sp8,7.574184115,2.2105868159999997,19.23829691,6.63239404
(6S)Gal(b1-4)Glc(b1-Sp0,7.507992967000001,5.630829312,9.049024591,8.993586764
(6S)Gal(b1-4)Glc(b1-Sp8,22.62270003,5.09503004,5.114756433999999,42.57541304
(6S)Gal(b1-4)GlcNAc(b1-Sp8,6.265742237,11.03844041,2.920722427,7.234374961
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,8.322575449,11.24709202,1.147180708,1.98754486
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,8.949530538,11.43465661,4.9454048539999995,4.87870429
(6S)GlcNAc(b1-Sp8,8.327508278,1.840527583,4.862087308,8.426109632000001
"Neu5,9Ac2(a1-Sp8",6.701678847,5.663603447000001,4.569203597,5.8794018470000005
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",7.051853553,26.367941499999997,11.39678687,3.876640306
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,6.8980407810000015,10.23041798,24.26256567,14.49099013
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,2.971000578,7.80580048,2.044218087,61.21719026
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,8.606247135,11.77216217,3.6609647360000004,30.65998531
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,3.6084111969999997,14.63777672,13.43243148,5.6348440160000015
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,7.161710642999999,4.276394302,9.893618855,7.319923907000001
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,3.4068443669999997,6.411638438,3.519702686,19.46592945
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,5.893782438,9.565630204,3.628618183,6.976125639
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,7.761723405,7.59411776,5.168923953999999,4.27695917
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,9.093584079,21.02377461,10.50078161,38.35706688
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,3.359889213,7.202860314,6.768176652999999,11.39748539
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,12.34536028,9.504399881,5.862968713,3.925606335
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,10.17990108,9.876747048,7.104863927,3.249361514
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,6.2999526679999995,5.9688957920000005,2.527193596,2.393529092
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,5.633345277999999,10.22291809,8.067161627,5.2016659469999995
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,14.1604282,16.7692169,16.37483089,28.88529231
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,6.86886378,2.05739459,2.500679308,11.53632329
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,35.79423727,11.42685296,4.246642582,14.56703337
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,9.167994477999999,7.36337404,4.076264418,7.938023287999999
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,19.34282996,12.73969187,3.6365525360000004,3.95029302
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,10.24265007,18.92319599,2.628012832,5.75351783
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.77678976,20.808413,6.296899048999999,5.374775264
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,7.335345047000001,12.65963331,1.7659090469999998,1.692836059
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.28338659,7.5699603820000005,4.397132563,9.201199927000001
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,4.849930167,8.614209228,5.8992875510000005,11.96225449
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,9.348971992000001,8.009280456,4.6590987639999994,6.885648641
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,10.27708498,2.80698585,6.320573137,5.658714624
