IUPAC,RCAI (Vector) (0.1 ug/ml),RCAI (Vector) (1 ug/ml),RCAI (Vector) (10 ug/ml),RCAI (Vector) (100ug/ml)
Gal(a1-Sp8,14.028300000000007,18.04825,128.860975,2409.757825
Glc(a1-Sp8,9.894375,37.371550000000006,29.227699999999995,497.63235
Man(a1-Sp8,26.874475,58.422024999999984,69.8647,284.8068249999999
GalNAc(a1-Sp8,13.9378,38.994875,27.91895,1608.890125
GalNAc(a1-Sp15,49.49017500000001,385.656625,3892.29625,21452.234825
Fuc(a1-Sp8,26.19735,8.630700000000001,4.800349999999998,63.252875
Fuc(a1-Sp9,1.1430749999999996,5.303600000000001,24.1246,23.132125
Rha(a1-Sp8,14.929650000000002,13.784600000000005,17.787174999999994,276.1348750000001
Neu5Ac(a1-Sp8,29.354175,20.400725000000005,28.4859,101.904425
Neu5Ac(a1-Sp11,36.91284999999999,21.565224999999995,45.77995000000002,241.46435
Neu5Ac(b1-Sp8,3.5566750000000016,12.982225000000005,10.244349999999997,68.71730000000002
Gal(b1-Sp8,42.65695,1494.046175,10720.797874999998,26032.698025000005
Glc(b1-Sp8,17.892200000000006,14.292925000000006,57.31367500000002,238.53025
Man(b1-Sp8,5.729150000000002,10.022625000000003,62.35360000000002,171.28070000000002
GalNAc(b1-Sp8,44.3477,31.24235,329.3526250000001,4765.964925
GlcNAc(b1-Sp0,42.98819999999999,28.352775,14.2926,25.08757499999999
GlcNAc(b1-Sp8,20.79445,23.622700000000005,15.354750000000005,107.421025
GlcN[Gc](b1-Sp8,5.7468,14.975325000000002,13.514875,13.619125
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,1972.31145,27691.183675,35195.67055,41061.1986
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,306.78742499999987,6052.774825,34681.1338,32691.8796
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,19.02845,27.5196,39.03060000000001,10.47875
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,26.73295,16.271575000000002,167.89317500000004,3889.221800000001
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,14.472000000000001,21.161225,20.108825,194.5842
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,42.2217,35.65509999999999,52.813275,480.32575
(3S)Gal(b1-4)Glc(b1-Sp8,17.327849999999998,25.37067500000001,17.8127,24.1979
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,21.764675,24.692025,11.4946,42.61015
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,8.233900000000002,22.028325,13.356824999999983,97.32185
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,12.463274999999996,19.95325,28.9889,76.88235000000032
(3S)Gal(b1-3)GalNAc(a1-Sp8,4.295825000000002,20.501450000000006,13.467974999999996,66.03905
(3S)Gal(b1-3)GlcNAc(b1-Sp0,18.084625000000006,15.168125,16.740674999999992,75.274575
(3S)Gal(b1-3)GlcNAc(b1-Sp8,15.441650000000005,-0.309350000000002,9.990474999999996,162.4819500000001
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,28.560375,26.40045,33.472950000000004,108.27760000000002
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,8.95375,17.749575,12.47495,50.03810000000001
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,18.47065,18.0397,17.374424999999995,66.65870000000001
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,5.522675000000001,3.1541999999999977,8.361550000000005,91.19325
(3S)Gal(b1-4)GlcNAc(b1-Sp0,9.251525,20.528050000000004,33.2209,132.241425
(3S)Gal(b1-4)GlcNAc(b1-Sp8,10.442625,17.360124999999996,5.492149999999999,139.83440000000004
(3S)Gal(b1-Sp8,17.413874999999994,-12.240174999999995,5.023499999999995,30.642025
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,1.4334750000000032,10.946650000000002,28.00255,80.81272500000001
(4S)Gal(b1-4)GlcNAc(b1-Sp8,17.935499999999994,11.618725,16.662249999999993,41.258625
(6P)Man(a1-Sp8,11.3444,14.116799999999998,10.204900000000002,40.927250000000015
(6S)Gal(b1-4)Glc(b1-Sp0,2207.6941750000005,16461.432375,32450.737,33821.528825
(6S)Gal(b1-4)Glc(b1-Sp8,1629.82435,16015.962975000002,30646.907975,33881.364525
(6S)Gal(b1-4)GlcNAc(b1-Sp8,2617.800725,26764.73175000001,32211.998850000004,40597.055725
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,1191.89495,12047.19305,30122.55687500001,39411.03472500001
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,8.203100000000001,8.41425,39.570099999999975,16.573275
(6S)GlcNAc(b1-Sp8,10.577199999999998,24.496,9.739125000000003,46.68712500000001
"Neu5,9Ac2(a1-Sp8",5.867574999999999,15.824774999999995,28.48497500000001,-5.0374250000000025
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",1.8146749999999976,9.888874999999997,68.93979999999999,3632.209675
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,12.139199999999995,15.654700000000005,7.695874999999999,64.58925
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,12.789175,2.7272250000000007,5.892100000000001,2619.558850000001
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,10.339625000000002,9.822525,4.856674999999997,70.97502500000002
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,1.4861999999999966,-3.248674999999998,90.512325,4362.57335
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,2516.63695,25482.42192500001,32196.12895,39904.82239999998
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,502.12159999999983,8605.5844,36950.460899999984,36154.167175
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,992.048275,11678.5593,32469.222500000003,37292.80550000002
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,2002.87565,23752.25715,33162.873599999984,40383.54525
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,47.532425,2279.3311500000004,33097.460875,35370.569725
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,6.484575,12.220900000000002,21.92835,49.879625
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,9.553725,3.03515,6.759450000000001,84.76032500000002
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,4.968000000000002,15.539324999999998,5.723675000000004,35.82170000000001
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,19.00625,8.209899999999998,8.025324999999999,48.59969999999999
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,0.7180499999999999,9.278175,16.644375,1362.7413250000004
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,12.542550000000002,4.488,9.750825000000004,28.066975
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,4.128700000000002,2.24175,20.5481,94.831225
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,14.011124999999998,6.147425000000003,15.4113,884.6067250000001
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,6.597825,10.667125,4.83465,1441.44735
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,18.235175,20.06235,11.766650000000006,230.35315
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,17.090749999999996,13.754899999999996,31.60215,230.194925
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.062125,5.216875,29.02007500000001,6.544775
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.608950000000003,7.94625,0.38242500000000135,19.77257500000001
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.003224999999997,13.780525,6.384224999999998,46.20125
