IUPAC,RCAI (Vector) (0.1 ug/ml),RCAI (Vector) (1 ug/ml),RCAI (Vector) (10 ug/ml),RCAI (Vector) (100ug/ml)
Gal(a1-Sp8,6.707803253425548,7.278797509891323,57.87545232746917,595.7765431258775
Glc(a1-Sp8,7.7845028128006035,7.9075301464279555,6.456441591155361,240.6076968849292
Man(a1-Sp8,4.268423006509564,28.6414470663728,6.838776306231072,79.4167328306145
GalNAc(a1-Sp8,10.105439726206876,12.706918214205212,14.49925349469182,322.36985348475434
GalNAc(a1-Sp15,34.328241267152514,129.177087995392,736.9571935557435,1521.388189933502
Fuc(a1-Sp8,11.862270754651773,4.519768813409228,7.410418517420815,66.1035474021062
Fuc(a1-Sp9,14.660458967889328,3.011893142194781,16.695193958142568,26.843108495772878
Rha(a1-Sp8,11.328580776808126,11.365502389247904,15.811514774445245,45.26243877067571
Neu5Ac(a1-Sp8,17.13865472966008,14.738112127038756,17.460413377122542,54.64455264399648
Neu5Ac(a1-Sp11,13.906623287842338,14.38550696508471,24.90707574974094,183.592220447776
Neu5Ac(b1-Sp8,8.413565167186855,9.182341395081826,14.390856725597216,55.70455581931037
Gal(b1-Sp8,28.72294288920724,157.62224539379758,490.13275747831284,1014.4813978149832
Glc(b1-Sp8,11.947570382578494,1.7043117073567462,43.53354412667513,70.00949472657271
Man(b1-Sp8,7.870259564758122,27.588026972749205,17.345171799091535,124.9663675757868
GalNAc(b1-Sp8,10.249594262863999,24.819793334285965,102.5471385393847,450.2347554091996
GlcNAc(b1-Sp0,18.906960888695632,24.75109309523859,15.936501935703035,17.216580724478998
GlcNAc(b1-Sp8,18.88616421713701,12.916411300615447,14.417543466786109,93.69020963325086
GlcN[Gc](b1-Sp8,5.342153934509931,15.52004587887871,17.667035723888908,27.751895211363497
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,52.36698420839785,2379.0989907147323,1890.038771874829,2746.2979571860997
