IUPAC,STL (0.1ug/ml),STL (1ug/ml),STL (10ug/ml),STL (100ug/ml)
Gal(a1-Sp8,16.2667,18.035525000000007,25.503975,74.49102500000002
Glc(a1-Sp8,16.397975000000002,13.275575,7.713925,30.268699999999995
Man(a1-Sp8,9.241125000000004,14.4969,9.045425,41.01625
GalNAc(a1-Sp8,1.2059499999999996,10.5246,2.6723250000000007,13.359175
GalNAc(a1-Sp15,13.957225000000005,14.881325,19.563175,9.82725
Fuc(a1-Sp8,7.327325,9.913875,5.264900000000001,8.1505
Fuc(a1-Sp9,3.783075000000002,3.4232750000000003,8.372550000000002,24.37265000000001
Rha(a1-Sp8,8.707275,11.25855,12.049575,19.639850000000006
Neu5Ac(a1-Sp8,-1.7855500000000015,18.823500000000006,15.5474,34.65842500000001
Neu5Ac(a1-Sp11,17.6087,6.597174999999992,20.517175,65.218325
Neu5Ac(b1-Sp8,20.81495,16.9856,8.365775,20.420425
Gal(b1-Sp8,7.958200000000005,24.5676,66.671625,64.284125
Glc(b1-Sp8,15.24555,6.253449999999997,19.173275,27.944424999999995
Man(b1-Sp8,2.9494500000000023,16.15205,10.697425,24.345625
GalNAc(b1-Sp8,11.120574999999995,8.761724999999998,17.178024999999995,20.2849
GlcNAc(b1-Sp0,14.1556,8.803650000000003,19.182325,20.632349999999995
GlcNAc(b1-Sp8,17.1822,7.036425,6.665800000000003,76.41475
GlcN[Gc](b1-Sp8,13.65205,18.489850000000004,14.379475,8.005125
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,865.282725,3063.652675000001,11632.836875,8940.030125000001
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,11.984050000000002,39.53035000000001,1784.8724249999998,700.2618
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,6.456424999999998,2.8962249999999985,5.727875000000003,19.249725
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,25.2343,63.88595000000002,1571.7140250000002,970.386725
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,8.513975000000002,15.364799999999995,9.706850000000003,124.80129999999996
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,16.283225,39.058149999999976,21.273650000000004,46.2636
(3S)Gal(b1-4)Glc(b1-Sp8,10.293024999999998,7.681925000000002,8.772825000000001,15.26175
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,11.1963,10.37395,14.463349999999998,38.0012
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,7.976674999999991,5.445825,6.403824999999999,55.87640000000005
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,8.38575,8.645900000000001,9.36875,5.230124999999999
(3S)Gal(b1-3)GalNAc(a1-Sp8,7.26385,3.229425,15.358899999999998,16.99875
(3S)Gal(b1-3)GlcNAc(b1-Sp0,11.3211,14.343875,5.222324999999998,33.835475
(3S)Gal(b1-3)GlcNAc(b1-Sp8,15.589149999999995,16.06145,5.1515499999999985,15.399325
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,10.858375000000002,20.990800000000004,252.75105,251.3735250000001
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,6.1167500000000015,3.1218000000000004,19.309024999999995,10.457724999999998
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,1738.702875,4253.99415,10537.0724,13433.486725000002
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,2224.94475,6298.8845999999985,25361.358549999994,17802.499150000003
(3S)Gal(b1-4)GlcNAc(b1-Sp0,2063.453825,5380.443225000001,17174.45035,17503.9659
