IUPAC,VVL (0.1ug/ml),VVL (1ug/ml),VVL (10ug/ml),VVL (100ug/ml)
Gal(a1-Sp8,2.135,8.92935,8.20845,75.2602
Glc(a1-Sp8,13.866925,16.0267,8.1413,36.444875
Man(a1-Sp8,28.365175,24.498,29.343075,38.611575
GalNAc(a1-Sp8,3588.407425,17126.227,28645.0236,36975.74635
GalNAc(a1-Sp15,1860.39075,9616.009525,22320.42408,28802.98737
Fuc(a1-Sp8,8.9101,10.8481,3.434025,7.621175
Fuc(a1-Sp9,10.6986,18.75975,6.420325,20.7105
Rha(a1-Sp8,22.380025,6.99975,11.81145,13.6262
Neu5Ac(a1-Sp8,33.165325,34.917775,33.488225,33.270425
Neu5Ac(a1-Sp11,24.112375,25.920075,8.164325,12.32
Neu5Ac(b1-Sp8,9.09385,5.20375,3.89225,23.616675
Gal(b1-Sp8,18.60285,11.06795,22.96355,18.411325
Glc(b1-Sp8,19.46195,11.1199,7.028875,15.310825
Man(b1-Sp8,4.459175,7.891475,25.207875,-2.93495
GalNAc(b1-Sp8,926.44725,9368.9234,24016.32592,29409.3462
GlcNAc(b1-Sp0,10.14615,30.54605,11.522925,26.890275
GlcNAc(b1-Sp8,6.4233,1.77625,4.373075,1.894625
GlcN[Gc](b1-Sp8,10.2635,17.66475,14.76005,4.590475
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,9.06,9.485025,4.99005,25.373925
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,20.357675,8.6319,6.325275,22.211775
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,11.6888,10.22685,6.030525,9.939875
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,9.2239,7.37845,4.77855,9.131475
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,18.78235,11.60035,19.3772,12.217875
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,10.254075,40.237425,24.7425,41.135525
(3S)Gal(b1-4)Glc(b1-Sp8,6.921575,3.613125,12.594475,30.08535
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,10.044625,13.28905,13.2919,3.917625
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,29.609825,23.5597,3.949575,2.446275
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,0.718375,4.09735,12.50145,9.385075
(3S)Gal(b1-3)GalNAc(a1-Sp8,10.913225,9.64275,14.7754,25.260075
(3S)Gal(b1-3)GlcNAc(b1-Sp0,-0.583675,10.8496,0.65765,-2.09675
(3S)Gal(b1-3)GlcNAc(b1-Sp8,3.3951,8.83375,10.6364,-1.164525
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,-1.6547,9.9077,11.85935,6.037525
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,6.706675,1.765875,6.513775,-1.5095
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,7.822825,4.238375,6.287075,5.3881
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,5.16405,5.94405,6.676025,5.168025
(3S)Gal(b1-4)GlcNAc(b1-Sp0,4.061325,8.1833,7.671125,6.44495
(3S)Gal(b1-4)GlcNAc(b1-Sp8,13.115875,7.3733,10.199,11.081875
(3S)Gal(b1-Sp8,3.505175,6.6548,16.342675,2.8307
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,-0.8877,14.163875,10.45045,0.786375
(4S)Gal(b1-4)GlcNAc(b1-Sp8,6.6348,10.518175,8.3476,4.34155
(6P)Man(a1-Sp8,1.2332,2.30805,6.1659,11.778925
(6S)Gal(b1-4)Glc(b1-Sp0,8.7688,4.871325,26.439625,2.65565
(6S)Gal(b1-4)Glc(b1-Sp8,5.551825,14.932425,3.51185,13.025975
(6S)Gal(b1-4)GlcNAc(b1-Sp8,18.692225,6.6336,19.474675,-2.440925
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,26.084175,8.15125,9.325675,2.520525
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,-0.1442,4.2779,6.988,0.280925
(6S)GlcNAc(b1-Sp8,20.1307,20.020575,11.715925,10.80125
"Neu5,9Ac2(a1-Sp8",11.135125,10.427125,6.744275,5.27395
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",-0.673075,4.54605,15.366875,11.0819
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,18.994025,16.45895,8.8195,21.47725
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,14.03125,54.8801,30.3473,10.021075
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,10.63945,6.6265,2.281875,19.172425
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,7.754475,7.146975,-3.617675,3.50235
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,4.1433,4.221675,5.014425,14.1178
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,3.3113,10.086125,3.5088,3.9296
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,2.978275,6.481025,14.247425,-1.220875
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,0.018475,3.75115,21.499875,23.55405
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,5.89095,8.81755,9.290825,26.69635
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,18.460075,8.612575,11.83235,17.310825
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,10.38965,4.52755,2.956675,1.145525
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,8.339425,5.039375,11.573225,14.8901
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,-0.939625,9.810125,3.90435,2.8054
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,4.096775,6.275925,9.847325,-1.312925
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,5.021675,4.31135,10.86035,10.244425
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,-1.338625,4.55875,7.9383,-3.16395
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,6.495125,6.515625,3.320175,2.160725
