IUPAC,VVL (0.1ug/ml),VVL (1ug/ml),VVL (10ug/ml),VVL (100ug/ml)
Gal(a1-Sp8,8.673162117,8.345843464,3.673521889,13.81300914
Glc(a1-Sp8,12.54848697,10.73274838,7.83927462,19.24195889
Man(a1-Sp8,12.63037868,11.76193257,2.9540925689999997,18.41233621
GalNAc(a1-Sp8,450.78733150000005,777.7372267000003,686.8881122,678.453513
GalNAc(a1-Sp15,228.2202441,1422.098336,1039.184475,6920.911085
Fuc(a1-Sp8,2.0656835719999997,10.30975717,1.773645469,5.758873938
Fuc(a1-Sp9,7.833930313,10.84295114,4.995077623,27.69215321
Rha(a1-Sp8,23.61526196,9.975214745,19.88886528,7.597628264
Neu5Ac(a1-Sp8,17.85574468,7.373571367,18.13483505,23.13025659
Neu5Ac(a1-Sp11,20.44055797,21.35528188,13.14420478,6.406377915
Neu5Ac(b1-Sp8,5.4499125070000005,4.617319315,7.189014507,14.26419142
Gal(b1-Sp8,9.859017316000001,14.17353679,8.303405382000001,8.673215137
Glc(b1-Sp8,13.85926064,7.036489242999999,5.061295024,8.157289056
Man(b1-Sp8,3.7446982319999997,4.15563019,17.01971908,4.505774125
GalNAc(b1-Sp8,386.93360739999997,1828.646206,1018.473853,1072.222433
GlcNAc(b1-Sp0,3.492773578,5.145308401,4.171508805,12.58774923
GlcNAc(b1-Sp8,5.2389200989999996,2.33659739,3.7521403039999996,5.011460957
GlcN[Gc](b1-Sp8,6.1605686010000005,8.822769175,15.04658982,5.681935792000001
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,9.028588066000001,6.784696919,5.47818385,13.3097122
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,4.0368767210000005,3.54139214,14.90613479,17.27765903
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,11.43866939,4.0532716419999995,7.394536733,16.68070092
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,9.659523282,6.451772169,5.075924529,7.872234092999999
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,16.0751311,5.970656203,11.66156953,19.46899766
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,9.279247046,7.713312309,11.44948087,16.18464168
(3S)Gal(b1-4)Glc(b1-Sp8,8.465753383,3.257338732,8.520377851000001,6.213831107000001
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,7.2815148579999995,4.990455107,5.305501533,11.67641122
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,5.4884083,13.12245149,3.47566882,2.239785562
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,2.841202022,3.7520655830000003,11.3842062,7.34257873
(3S)Gal(b1-3)GalNAc(a1-Sp8,9.081766409,6.345181107999999,19.03694475,12.55983211
(3S)Gal(b1-3)GlcNAc(b1-Sp0,5.48135608,10.06065845,3.855438978,0.949384118
(3S)Gal(b1-3)GlcNAc(b1-Sp8,7.818785717999999,0.648254983,16.055212599999994,5.666985791
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,3.618515912,4.998195771000001,6.247100487000001,5.395976276
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,6.315262859,3.215826172,11.61401954,1.164869363
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,3.8775197319999997,4.297546306,6.184903843,22.10452164
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,3.303149257,7.159423454,14.07220994,9.251545768
(3S)Gal(b1-4)GlcNAc(b1-Sp0,10.92936857,7.092490806,9.219371944,7.469419802999999
(3S)Gal(b1-4)GlcNAc(b1-Sp8,4.770460024,4.262348762,7.653416686,6.550585511
(3S)Gal(b1-Sp8,3.6685478469999997,3.1569531860000004,13.59203838,5.581436556
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,2.712784177,9.398765806,7.694610891,4.135989986
(4S)Gal(b1-4)GlcNAc(b1-Sp8,2.285094338,0.852752607,9.309887191,2.456697128
(6P)Man(a1-Sp8,5.647720825,5.423573226,1.996636679,4.203014312
(6S)Gal(b1-4)Glc(b1-Sp0,13.44422329,1.312537724,18.30636855,1.064934316
(6S)Gal(b1-4)Glc(b1-Sp8,6.488505825,19.35041439,4.643739956,9.695685892
(6S)Gal(b1-4)GlcNAc(b1-Sp8,7.23332209,8.770374607,4.595342859,5.839319163
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,34.69324407,6.2891978029999995,5.0143506030000005,4.259257594
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,6.180436431,4.885308695,8.021563002999999,3.827834376
(6S)GlcNAc(b1-Sp8,13.55131097,37.42780425,8.912337419,9.417142631
"Neu5,9Ac2(a1-Sp8",9.041955906,6.8586811370000005,2.674849511,7.265600752999999
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",3.02922519,2.297671738,6.5395346110000006,14.82456178
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,8.270770795,10.19176967,7.1370227129999995,10.60773177
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,12.64857371,13.55133676,13.42064666,7.460607972000001
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,2.09342051,4.892209308,2.2869085819999997,24.55230697
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,6.188090183,6.2201428760000015,3.004329185,1.153735309
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,6.707350719,1.165327946,6.03328756,11.04994854
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,10.02530286,12.57346751,2.344378685,4.618893551
