IUPAC,WGA 0.01ug,WGA 0.1ug/ml,WGA 1ug/ml,WGA 10ug/ml,WGA 100ug/ml
Gal(a1-Sp8,63.1842,47.6598,81.95615,177.79235,415.424025
Glc(a1-Sp8,21.82435,68.55865,95.506475,262.644475,425.362925
Man(a1-Sp8,33.98215,83.7629,95.2507,144.717225,230.69895
GalNAc(a1-Sp8,62.322975,752.0685,2136.408475,5307.022225,14967.44768
GalNAc(a1-Sp15,31.0441,22.806775,47.60265,50.718575,139.976825
Fuc(a1-Sp8,24.8523,9.1208,12.140975,40.846475,57.7937
Fuc(a1-Sp9,32.046275,5.803325,5.7574,20.163425,37.216875
Rha(a1-Sp8,17.2012,20.1475,20.439375,17.7803,72.6612
Neu5Ac(a1-Sp8,68.583775,76.349225,76.79125,188.469675,309.7652
Neu5Ac(a1-Sp11,38.66485,13.280675,30.3083,11.150725,126.250225
Neu5Ac(b1-Sp8,41.717225,12.6621,11.383075,19.057925,255.81425
Gal(b1-Sp8,19.876775,16.547875,21.250025,34.42855,207.9804
Glc(b1-Sp8,31.700575,48.083025,70.80945,274.596825,429.014025
Man(b1-Sp8,22.0703,29.3578,50.44445,88.716175,211.166025
GalNAc(b1-Sp8,65.3714,569.3504,2231.647625,5615.024975,7040.344375
GlcNAc(b1-Sp0,106.3036,3437.95425,6200.440675,9635.0464,13242.03913
GlcNAc(b1-Sp8,498.833525,6017.72705,16958.58658,16952.71758,19268.44065
GlcN[Gc](b1-Sp8,35.16185,9.806325,22.004,14.99345,38.5123
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,37.9415,24.7513,984.965275,11328.45815,22627.11888
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,19.763975,17.6979,11.449475,9.347975,133.243625
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,17.7454,81.834475,150.003425,458.012,2961.80525
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,7.605975,21.699925,28.723925,24.762275,660.7832
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,30.514,7.681475,49.6366,107.904675,146.417825
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,76.89935,107.9506,34.2572,46.112225,359.149125
(3S)Gal(b1-4)Glc(b1-Sp8,37.3463,10.29535,86.40935,191.538325,245.5866
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,17.967775,29.02765,29.9763,45.334475,148.757475
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,16.42255,15.91275,25.397525,22.8483,48.842975
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,4.750125,9.70725,14.96115,23.94485,29.6029
(3S)Gal(b1-3)GalNAc(a1-Sp8,15.798825,18.59815,32.254975,145.801975,145.792825
(3S)Gal(b1-3)GlcNAc(b1-Sp0,88.67285,10.417325,14.430125,13.882225,48.9244
(3S)Gal(b1-3)GlcNAc(b1-Sp8,20.3747,6.85165,13.8503,8.148975,11.287975
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,37.1307,4.9775,20.849525,24.775775,17.261975
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,13.3264,2.605175,15.266375,3.91335,3.465975
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,20.6289,30.002775,396.824175,4262.6308,8733.209
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,28.00975,24.3904,648.40165,5686.42875,18870.5473
(3S)Gal(b1-4)GlcNAc(b1-Sp0,14.415725,97.18175,828.3538,6405.77125,15985.33915
(3S)Gal(b1-4)GlcNAc(b1-Sp8,21.08105,144.582975,781.20315,3656.902625,13509.95178
(3S)Gal(b1-Sp8,18.260525,11.551225,8.232575,33.812275,40.09155
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,1.92195,12.84935,13.2003,19.589575,122.046575
(4S)Gal(b1-4)GlcNAc(b1-Sp8,23.354025,164.054375,839.969925,8519.65905,13390.7112
(6P)Man(a1-Sp8,20.0093,15.264225,23.857525,24.293825,213.321075
