IUPAC,WGA 0.01ug,WGA 0.1ug/ml,WGA 1ug/ml,WGA 10ug/ml,WGA 100ug/ml
Gal(a1-Sp8,80.57717892,25.9427519,11.25585687,29.48452967,156.4272851
Glc(a1-Sp8,12.73725078,14.39087474,12.63535214,5.019537898,15.17779418
Man(a1-Sp8,4.153104608,18.57547794,6.908547739,19.27564549,27.61189243
GalNAc(a1-Sp8,69.02360174,583.194363,765.3224574,1612.997762,418.937382
GalNAc(a1-Sp15,24.70511805,12.48438979,24.69777229,30.72570239,21.32847162
Fuc(a1-Sp8,29.98036923,9.227268488,9.017136031,12.31724335,18.98406608
Fuc(a1-Sp9,9.875737332,6.904169224,10.23428807,6.802711505,19.48262182
Rha(a1-Sp8,7.623537629,6.208692269,11.19934393,15.58478406,16.19767478
Neu5Ac(a1-Sp8,35.90965607,29.60741373,22.57959757,41.60370717,52.72414373
Neu5Ac(a1-Sp11,23.83836394,14.39322129,17.34939827,5.254182975,92.02018703
Neu5Ac(b1-Sp8,28.32531265,30.72906458,4.520745237,11.88878344,107.6105876
Gal(b1-Sp8,10.69309061,11.84105082,14.03270861,17.6941075,112.0087993
Glc(b1-Sp8,21.08608302,28.71840047,21.9304916,54.90049552,38.78323494
Man(b1-Sp8,8.860967633,20.63995503,16.52242251,20.88742933,83.91923183
GalNAc(b1-Sp8,21.69229062,59.97706622,175.6008241,722.4000534,1015.970735
GlcNAc(b1-Sp0,29.6316508,349.7873993,197.913221,651.9346009,1920.049937
GlcNAc(b1-Sp8,71.02866235,432.8498988,814.6032779,687.8322287,4125.614413
GlcN[Gc](b1-Sp8,34.53340179,8.466429013,12.66397599,13.56886116,22.89320407
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,35.92081046,12.15232021,134.8311482,1171.806078,662.7616281
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,10.89297222,5.025660325,7.863091749,2.725218697,81.05142008
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,6.32474139,35.34219327,59.09756843,4.932678439,654.8835821
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,13.52241458,19.12160728,9.744043595,16.88660973,173.5915604
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,43.36079431,1.406623815,17.99481333,39.67991446,96.10889391
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,30.39493733,117.9890817,18.0006861,20.25607532,126.9893729
(3S)Gal(b1-4)Glc(b1-Sp8,25.18532419,5.190347355,28.3593631,30.02881449,36.41863007
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,13.7962278,23.44550283,15.52833326,17.64843673,45.23568489
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,17.0138214,7.158666355,16.94516628,21.2275225,23.04076852
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,3.946087839,11.25706077,15.2165074,17.55600579,18.68911459
(3S)Gal(b1-3)GalNAc(a1-Sp8,14.90066896,18.30414929,10.08046532,19.51844243,25.78865532
(3S)Gal(b1-3)GlcNAc(b1-Sp0,146.6637059,12.03978578,11.77694808,4.908821931,27.88275169
(3S)Gal(b1-3)GlcNAc(b1-Sp8,18.3374463,2.468891036,14.52791451,9.862853511,8.41581077
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,18.15853033,4.049748383,9.886634704,9.598023112,4.424888229
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,5.775803867,7.017982952,11.74273757,3.868542448,9.683997681
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,5.909995618,10.07240207,120.0722498,1315.661782,205.0409506
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,13.10926825,16.92722175,54.949258,562.6560156,6432.176839
(3S)Gal(b1-4)GlcNAc(b1-Sp0,16.45177028,26.81509053,142.348089,695.5749,2316.824946
(3S)Gal(b1-4)GlcNAc(b1-Sp8,12.91754871,24.16342001,54.80643287,1069.10483,2608.722392
(3S)Gal(b1-Sp8,5.24089857,12.78394287,6.838293996,9.950035798,15.04702639
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,6.094577201,4.025766539,12.68022826,8.049593004,34.74354264
(4S)Gal(b1-4)GlcNAc(b1-Sp8,10.77025425,25.01129518,231.8241193,2518.641253,4505.161934
(6P)Man(a1-Sp8,11.17863256,10.89763805,13.3896027,14.02701686,109.0980152
(6S)Gal(b1-4)Glc(b1-Sp0,12.61327383,7.834967695,13.36324694,8.844577344,116.9457861
(6S)Gal(b1-4)Glc(b1-Sp8,6.951859907,18.64686684,61.70126579,11.68533765,31.99220012
(6S)Gal(b1-4)GlcNAc(b1-Sp8,12.66012301,12.35387603,10.72355066,9.039373164,131.1452853
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,7.069535713,7.499611296,5.607835797,8.956625284,340.0013884
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,5.035588502,4.046402176,14.07256857,12.75384823,755.6061346
(6S)GlcNAc(b1-Sp8,136.3735594,226.7397521,4878.441226,1643.056244,6286.953787
"Neu5,9Ac2(a1-Sp8",12.8421644,17.87523037,21.18557137,27.41511805,100.6909644
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",6.965204909,10.27466769,4.442536719,5.289469645,27.81833162
