glycans,AAA actual,AAA predicted,AAL actual,AAL predicted,ABA actual,ABA predicted,ACL actual,ACL predicted,AIA actual,AIA predicted,AMA actual,AMA predicted,AOL actual,AOL predicted,BPL actual,BPL predicted,CAA actual,CAA predicted,CAL actual,CAL predicted,CFL actual,CFL predicted,CTB actual,CTB predicted,ConA actual,ConA predicted,DBA actual,DBA predicted,DSL actual,DSL predicted,ECL actual,ECL predicted,EEL actual,EEL predicted,G3C actual,G3C predicted,GNL actual,GNL predicted,GSL actual,GSL predicted,HAA actual,HAA predicted,HHA actual,HHA predicted,HPA actual,HPA predicted,LCA actual,LCA predicted,LEL actual,LEL predicted,LFA actual,LFA predicted,LTL actual,LTL predicted,MAL actual,MAL predicted,MNA actual,MNA predicted,MOA actual,MOA predicted,MPL actual,MPL predicted,NPL actual,NPL predicted,PNA actual,PNA predicted,PSA actual,PSA predicted,PSL actual,PSL predicted,PTL actual,PTL predicted,RCA actual,RCA predicted,RPA actual,RPA predicted,SBA actual,SBA predicted,SJA actual,SJA predicted,SNA actual,SNA predicted,STA actual,STA predicted,TJA actual,TJA predicted,TL actual,TL predicted,UDA actual,UDA predicted,UEA actual,UEA predicted,VGA actual,VGA predicted,VVL actual,VVL predicted,WFL actual,WFL predicted,WGA actual,WGA predicted
Gal(a1-Sp8,4.3728576,1.7424345,4.16723,3.3959827,11.961572,3.542136,2.1397111,0.0,21.991219,13.057576,4.2392797,2.1402085,4.2839828,4.339351,2.2397294,1.9067432,3.8858914,1.8189452,3.695887,3.1399891,25.79785,27.880184,5.781603,3.1517794,7.521262,3.5046258,3.0680237,1.0733402,2.510443,2.0390735,2.6388938,0.0,1.6419504,3.805829,2.808857,2.0127714,1.6474003,1.0183017,15.539167,16.427563,3.1623917,0.0,3.373314,3.4920044,1.8695229,4.0430756,1.0,0.0,3.2316306,0.0,7.2284,3.9325492,2.4319174,2.8340147,1.0,1.2114,2.6226933,4.0312176,1.7247251,17.031271,20.616436,14.133112,3.33005,1.7078302,2.599048,0.0,2.9980347,0.0,2.807038,1.1521274,1.103426,1.799726,13.406779,21.534054,4.144314,3.2344341,1.3337934,5.412597,1.5807725,2.7611141,4.99746,2.140107,4.207602,1.1982701,3.7036676,6.2368145,1.0,0.0,2.1428463,1.4553833,1.0,0.0,4.903597,3.6726503,4.2220345,0.0,2.3769686,0.33399463,7.4615755,5.081884
Glc(a1-Sp8,5.920529,2.9954865,3.816098,1.9328096,12.4376135,4.466509,2.1670113,1.9702976,1.0,2.3728037,3.7671018,2.7409894,4.050202,3.097445,2.2923548,0.0,3.0859938,2.4785888,3.2195523,3.004593,5.6623216,7.7855906,5.5548205,4.1741095,8.881711,5.477579,2.7964804,1.2068119,2.0414915,0.0,2.0680578,0.0,2.50827,0.57814866,2.9989877,1.1983664,3.1586409,2.0523257,1.0,1.8358563,2.602702,1.9630542,1.8862957,2.661253,2.7818177,2.070951,2.0134654,2.2077167,2.5901165,0.0,6.040596,3.506555,2.6312273,1.8996149,1.0,2.0802119,2.6068287,2.9020417,2.2531085,0.0,2.9049668,5.4264574,3.309871,2.9213927,2.950899,0.0,3.2376056,1.9261996,4.3375993,0.40520352,1.1114573,1.8169746,7.9244576,0.0,2.9225512,1.7872238,2.6586816,0.0,2.7817307,0.15917042,6.461637,3.4605618,3.1164818,0.0,5.832524,1.8911613,1.0,0.9202633,2.7461333,1.5358613,1.0,0.0,5.367763,3.2417917,3.3154728,0.0,1.9809992,0.0,7.5206127,3.0516148
Man(a1-Sp8,4.39143,3.5150154,2.661648,1.8243759,9.542767,5.5526304,2.169314,1.2537882,1.0,0.0,4.5713363,2.1544886,4.120613,2.82922,3.204097,0.0,2.2527292,1.1861305,3.5036485,1.3291816,4.440279,5.460924,6.2500196,3.9549136,19.26364,7.4754987,3.278605,1.5136577,3.095632,0.87298423,2.1129491,0.0,3.4734812,0.71943855,3.1329346,2.207117,3.6291714,2.676447,2.9176881,1.0226518,1.0,2.5749564,3.6869984,3.4531455,3.6320853,0.0,2.610084,1.989727,3.3206344,1.0832884,3.91385,3.3856492,3.2169278,1.982229,1.0,2.6107864,2.6971965,3.4798312,2.7358568,0.0,4.5798087,2.9000273,3.667862,4.419365,2.5664387,0.0,2.6881268,0.0,2.2989142,0.8365675,2.9371219,2.1023211,6.579357,2.2498848,2.9050162,2.242873,1.5797881,0.0,2.278256,0.28241596,6.279191,2.1066518,3.4486728,2.4718533,4.2145643,1.7842858,2.5502536,0.0,2.670529,3.650879,1.0,0.0,3.4719388,3.1671379,3.3799155,0.0,2.6928768,0.0,6.133126,4.816141
GalNAc(a1-Sp8,4.6673717,13.896801,2.1002626,1.4799488,5.055442,2.8485098,13.607672,0.0,31.486597,1.8709565,1.858734,3.2536821,2.8661644,3.9028096,23.956913,12.275145,1.8204434,4.4049587,4.0291734,5.609274,32.6684,27.18507,5.2023983,3.4821076,1.0,4.770566,5.409625,6.0491705,1.3132182,1.5735582,1.0,4.997834,1.721908,0.0,3.419724,1.2614459,1.0,2.074284,32.246258,16.363258,31.952425,18.19562,7.8108187,2.7097383,17.333517,9.961618,2.2011805,0.0,2.393818,6.1017094,11.251063,5.5801,3.499131,1.8956704,1.0,6.976794,2.9889874,4.2245417,1.6192816,0.0,30.48109,6.307002,1.0,4.7844567,2.8035042,0.0,3.3253,0.0,1.7510307,0.0,14.089662,5.6860337,11.717693,13.476189,1.300754,1.7266889,32.68412,29.311226,4.2730823,5.108412,3.5976083,0.0,2.3727932,6.348922,3.0508177,0.0,1.150529,0.0,1.7412295,3.0064335,1.0,12.687254,3.9582288,4.1157985,33.314938,23.350948,30.684647,22.871872,24.644268,23.709358
GalNAc(a1-Sp15,3.7624817,13.896801,3.4305444,1.4799488,3.3886786,2.8485098,2.1245697,0.0,19.33865,1.8709565,3.5197194,3.2536821,3.6301708,3.9028096,8.424235,12.275145,3.4427235,4.4049587,2.6605477,5.609274,32.429447,27.18507,5.2545815,3.4821076,1.7291931,4.770566,2.8043406,6.0491705,2.3068542,1.5735582,1.9787139,4.997834,2.1848302,0.0,3.1409135,1.2614459,2.444285,2.074284,21.747702,16.363258,26.993418,18.19562,2.7360773,2.7097383,4.0874896,9.961618,2.3554559,0.0,3.541531,6.1017094,3.8633432,5.5801,3.8232605,1.8956704,1.0,6.976794,2.2177677,4.2245417,2.8282347,0.0,20.187191,6.307002,1.7568223,4.7844567,2.4157271,0.0,3.4966893,0.0,1.0,0.0,7.5486383,5.6860337,27.785881,13.476189,2.47151,1.7266889,28.93455,29.311226,4.4779105,5.108412,1.0,0.0,2.1419566,6.348922,3.0975873,0.0,1.4331745,0.0,2.742227,3.0064335,1.0,12.687254,4.6912584,4.1157985,30.653437,23.350948,26.789213,22.871872,5.1922073,23.709358
Fuc(a1-Sp8,3.8010418,4.0661473,33.152534,27.847301,4.046155,4.3719516,1.0,4.601871,1.0,0.0,2.1339567,2.6045136,24.740261,22.18311,1.8966122,0.0,1.8754387,1.3861594,2.987371,1.5667764,3.4683175,5.435937,5.497079,4.32326,5.442563,2.005497,3.707965,2.7187822,2.8442266,0.022187352,1.0,0.39422357,1.0,3.6349642,2.1663136,2.7164721,1.0,1.400147,1.5107597,2.0039597,1.0,0.0,2.3408015,1.8810196,1.92873,3.9827936,1.6726744,3.1680279,2.47876,1.982312,3.1696463,3.337811,3.4508784,3.4857464,1.0,3.7862673,2.3517025,1.5283874,2.7010398,0.0,4.9668055,6.256791,1.3771855,2.2159207,1.5911919,0.0,1.0,3.5450788,1.7383746,0.45178685,2.136645,1.5791696,3.984374,8.352203,1.8973578,2.1733568,1.0,0.0,1.0,3.3074903,1.0,4.981863,2.0124638,3.2545383,3.1392648,3.4158235,1.7098905,0.79281646,1.0,2.3267412,16.571556,11.850363,1.9952073,2.4370155,1.9679195,0.0,1.9733956,0.0,3.8662817,4.518805
Fuc(a1-Sp9,4.5841103,3.7128026,32.85034,29.664223,5.097468,3.304813,1.0,6.2470775,1.0,0.0,2.2492657,1.8871503,25.486673,23.668022,2.3053656,0.0,1.3953758,1.6737245,2.8432722,2.2461293,1.0,7.632876,6.974874,4.756158,1.0,2.6683004,7.371767,2.9535718,1.0,0.0,1.0,0.09136626,2.1227627,2.3863506,4.8550467,2.0702605,1.0,1.2654123,1.0,3.2478418,1.0,0.0,1.0,2.2559855,1.0,1.5426669,2.4713871,1.6897984,2.9118874,0.0,3.7961724,3.3999312,3.635039,4.5100613,11.293216,2.0833745,2.8993082,1.8604639,2.8144238,0.0,5.6882057,8.819916,1.3140826,1.9955907,2.3431065,0.0,1.9260696,2.2101185,1.0017469,1.056982,2.1684973,1.8986645,2.8493023,9.16924,1.3624096,1.8580573,1.0,0.0,1.0,0.0,1.0,5.7660494,2.8993518,1.0034312,1.639539,2.8610098,1.9892086,0.0,2.5334077,0.7970381,15.521586,13.404314,3.422554,2.5915523,2.7461874,0.0,2.665218,0.0,3.3387198,1.6958449
Neu5Ac(a1-Sp8,3.3619902,3.7223206,2.036754,2.9141216,5.70501,3.4975557,1.0,0.0,1.0,0.0,3.3153796,2.0290911,4.0907474,3.3750062,2.2306437,0.0,1.0,2.0669522,2.4449334,2.2263658,1.0,5.472292,4.842226,3.4139566,2.9191186,4.178747,1.5791734,1.5878663,3.1565197,0.0,1.0,0.0,1.3141212,0.0,2.9603639,1.1075549,2.9893773,1.3504117,1.0,0.5408964,1.0,1.8102729,2.4053023,1.4785671,1.0,1.2411954,2.3012486,0.7276729,2.893501,0.0,3.5115395,2.9621181,2.8245504,1.4678987,10.326054,3.1577797,2.3452053,3.0861833,2.1738713,0.0,4.950878,2.7802417,2.242815,2.0054893,2.4074178,0.0,3.2786298,0.19490036,2.354189,0.0,2.0816562,1.8256917,4.670869,4.6518164,1.5857723,1.4213336,1.0,0.46722832,1.0,0.5092314,7.3481274,5.2324243,3.2603905,1.1231759,3.1009874,1.6139611,1.0,0.0,1.0,1.1776607,1.0,0.037970066,1.0,2.4327018,3.216272,2.5963006,2.9767537,0.0,6.7661905,8.650127
Neu5Ac(a1-Sp11,2.9505792,4.0083666,1.0,4.8943834,4.8174357,4.522867,1.0,3.5338128,1.0,0.0,2.9263794,0.9083956,2.5692847,4.741913,1.0,0.0,1.8100238,1.7307401,2.676939,1.7235773,3.3658571,3.8085666,3.8083708,3.7694316,3.3120966,3.7504,1.0,1.5764672,2.4642773,0.94309604,1.0,0.0,2.8823543,0.0,3.1283994,1.2044591,1.4367925,1.0923696,2.0154696,1.0164831,1.0,1.0876335,1.6622173,1.4512166,2.0776968,1.4256899,1.0,0.643236,2.0909493,0.0,4.250886,3.2942142,1.6524756,2.165492,4.7908945,3.466408,2.3933716,2.7792845,1.4560391,0.0,2.3662984,4.7311416,1.9852054,1.4965076,2.224775,0.0,1.3268574,0.3434744,2.2710242,1.1962502,2.6517859,2.0329924,6.2270784,3.2777133,2.0723298,2.3839202,1.0,0.0,1.0,0.8649446,1.0,4.636003,4.0252223,1.9435201,3.488049,2.2025127,1.584824,0.0,1.0,1.5930755,1.0,0.0,5.6980357,2.6552,2.3096006,0.0,1.9835356,0.0,5.0166144,9.213272
Neu5Ac(b1-Sp8,2.6651933,2.5006855,1.0,2.8133945,4.8545356,5.447638,1.0,3.005772,1.0,0.0,2.6266127,1.1875044,3.2216172,3.1373782,2.0103195,1.7178626,1.4260267,1.4815189,3.126894,0.9244399,2.9933064,3.7816515,5.164801,2.9470563,1.0,1.3645017,1.0,0.8221159,2.4759521,0.51615345,1.0,0.0,1.0786016,0.0,2.7687554,1.822109,1.1430137,0.8974998,1.0,0.0,1.0,0.0,2.4445066,0.9026956,1.0,0.0,1.3431246,0.8791057,2.6738653,1.736403,4.560828,2.7173939,1.4865501,1.410061,1.0,3.736189,1.0,2.222513,1.750612,0.0,6.5325017,1.7927177,1.0,1.0066384,1.5191689,2.5527716,2.090955,0.67955536,2.4488082,0.0,2.4569,0.0,4.095957,1.9500726,1.0,1.7078699,1.0863322,0.0,2.0012867,0.5826972,1.0,0.0,2.733306,3.4235718,2.859788,0.0,1.848811,0.594149,2.3043554,1.0942286,1.4804766,0.0,6.8592663,2.326734,2.8690598,0.0,2.2630093,0.0,6.348068,12.079126
